#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      349.8   492.5   160.7   215.3   238.2   315.0   341.8   357.5   368.5   382.8   401.2   436.7   681.1  8534.7 18278.2   4985.2     5000  1715259995811  1715260001255
read      368.7   316.9   148.8   204.0   218.5   351.7   400.9   425.6   442.2   461.5   486.3   525.1   636.6  4317.1 13168.6  10043.2    10000  1715260002761  1715260008134
read      375.6   407.9   148.8   199.6   216.2   354.9   420.1   453.9   476.8   501.8   532.8   579.0   688.7  1805.9 12446.0  14946.6    15000  1715260009638  1715260014972
read      421.9   299.0   148.8   206.8   225.8   395.7   470.1   513.0   543.7   580.6   625.2   688.0   872.3  3005.2 13835.4  19981.2    20000  1715260016476  1715260021813
read      418.1   248.1   148.8   204.1   222.1   390.1   468.5   515.0   547.9   589.8   638.1   720.4   900.5  1468.1  8105.2  25014.8    25000  1715260023317  1715260028650
read      436.0   277.1   148.8   203.6   221.6   411.4   488.6   532.9   568.5   612.8   669.1   772.9   957.8  1961.5 10044.2  29896.4    30000  1715260030154  1715260035493
read      444.3   289.6   148.8   203.1   220.8   413.3   499.4   548.2   588.4   634.4   694.5   802.8   987.8  1948.3 10619.5  35064.4    35000  1715260036997  1715260042300
read      443.3   240.7   148.8   198.4   217.8   414.8   502.0   548.4   586.3   632.2   693.8   801.5  1020.3  1533.6  7258.4  39980.9    40000  1715260043803  1715260049113
read      441.8   250.4   137.8   198.8   218.6   407.0   499.4   550.8   590.1   636.2   701.6   806.6  1035.1  1524.7  9113.7  45080.2    45000  1715260050617  1715260055921
read      447.3   290.9   148.8   199.7   219.8   408.5   502.3   554.9   595.1   643.4   714.9   827.5  1061.6  1500.5 10741.7  50042.0    50000  1715260057424  1715260062732
read      451.3   301.5   148.8   202.7   224.0   409.8   502.0   556.2   597.9   647.0   717.6   828.9  1069.3  1733.7 12374.8  55047.0    55000  1715260064237  1715260069535
read      448.8   271.8   137.8   206.1   227.9   406.9   497.6   551.9   593.6   643.1   718.4   833.5  1059.7  1482.0 10104.2  59878.2    60000  1715260071039  1715260076338
read      459.1   301.2   148.8   207.1   231.3   420.7   512.5   566.6   607.1   655.1   722.3   830.4  1035.4  1531.3 13296.0  64771.2    65000  1715260077842  1715260083172
read      449.9   257.3   148.8   208.3   232.9   412.3   499.0   549.8   589.4   637.5   704.1   813.8  1027.3  1378.0  9452.3  69991.6    70000  1715260084676  1715260089983
read      493.4   304.9   148.8   219.8   253.4   455.3   550.9   607.0   647.1   698.8   772.2   871.5  1091.5  1473.0 12230.8  74913.0    75000  1715260091487  1715260096797
read      641.1   389.7   137.8   261.8   320.3   582.2   668.8   739.4   842.0   980.0  1100.2  1215.5  1370.9  2258.0 15699.8  79878.0    80000  1715260098301  1715260103624
read      779.4   448.8   137.8   489.2   522.6   645.0   744.0  1027.6  1104.0  1159.8  1219.0  1281.9  1412.0  3220.0 18615.8  82234.4    85000  1715260105128  1715260110432
read      791.9   424.2   173.5   496.8   531.1   662.4   746.0  1030.2  1116.0  1177.4  1240.3  1318.2  1458.4  4131.6 16072.4  82268.4    90000  1715260111935  1715260117246
read      820.7   436.4   148.8   519.6   555.6   683.1   773.2  1071.2  1160.0  1225.4  1284.9  1363.5  1493.5  4859.5 15618.1  79903.0    95000  1715260118750  1715260124069
read      802.0   461.9   137.8   520.6   552.7   662.6   736.5  1057.3  1143.7  1205.4  1257.9  1330.4  1456.1  5055.2 18505.1  82099.4   100000  1715260125573  1715260130924
read      847.3   474.0   160.7   551.5   581.2   708.8   787.1  1098.3  1201.0  1268.0  1334.3  1413.3  1561.0  5050.9 18446.1  77828.8   105000  1715260132428  1715260137733
read      828.6   470.6   137.8   529.5   562.6   688.7   771.4  1073.4  1167.2  1234.2  1298.9  1373.9  1499.9  5246.3 18999.3  79656.2   110000  1715260139237  1715260144538
read      813.2   433.1   148.8   521.5   555.5   674.6   748.8  1081.8  1161.9  1220.1  1270.9  1345.2  1472.4  4666.3 16605.8  80905.8   115000  1715260146041  1715260151366
read      785.9   404.2   173.5   501.8   528.4   649.8   752.9  1041.1  1112.7  1163.0  1222.5  1299.5  1467.7  3927.6 15225.6  83602.0   120000  1715260152870  1715260158167
read      836.6   447.1   137.8   529.7   564.3   702.3   789.7  1083.7  1174.0  1241.2  1310.1  1389.6  1544.3  4960.1 17173.4  78734.8   125000  1715260159670  1715260164986
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.63%,68.18%,100.00%
