#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      341.6   350.6   160.7   217.5   240.0   317.5   344.6   360.7   371.2   385.8   402.4   436.0   626.1  5565.7 16603.4   4976.2     5000  1715260937422  1715260942850
read      376.6   389.7   160.7   207.7   224.6   358.3   405.6   430.0   447.1   465.9   492.2   532.9   652.6  5004.6 17248.6   9986.4    10000  1715260944356  1715260949749
read      382.2   298.1   137.8   199.8   216.4   360.4   426.5   460.7   484.3   510.1   544.4   591.7   731.1  3301.0 12577.8  14946.8    15000  1715260951253  1715260956591
read      403.4   266.0   148.8   203.5   220.7   376.7   450.1   491.8   521.6   555.2   597.2   662.9   822.9  2426.0 12236.8  19935.8    20000  1715260958095  1715260963416
read      415.6   306.1   148.8   204.4   221.8   385.9   459.0   501.6   534.9   574.8   625.5   712.5   888.9  2481.7 10768.0  24977.0    25000  1715260964920  1715260970255
read      425.1   266.2   148.8   205.6   223.0   393.4   476.0   526.0   562.2   604.6   657.2   745.0   896.5  1617.2 11664.5  29995.2    30000  1715260971758  1715260977087
read      443.7   309.3   148.8   203.2   221.5   416.2   498.2   542.4   577.8   622.0   685.5   792.3   995.9  2020.3 13693.1  34973.0    35000  1715260978591  1715260983918
read      447.1   258.3   148.8   204.2   224.0   425.1   513.3   557.5   589.8   629.8   689.8   787.2   939.1  1343.8 10161.9  39919.4    40000  1715260985422  1715260990724
read      439.1   277.6   148.8   200.8   220.1   406.7   499.7   548.2   583.9   626.1   688.7   788.7  1011.6  1351.1  9827.8  44957.8    45000  1715260992227  1715260997548
read      431.0   254.4   137.8   200.0   218.5   387.4   476.5   530.6   572.0   623.3   701.7   815.3  1051.9  1337.7  9395.1  49958.8    50000  1715260999052  1715261004365
read      444.8   245.8   148.8   205.3   225.4   407.0   498.1   549.3   588.5   635.4   707.2   813.1  1062.3  1496.3  8738.3  54958.6    55000  1715261005868  1715261011170
read      461.2   303.4   148.8   214.1   236.6   423.8   516.7   571.6   611.0   659.6   729.5   826.5  1005.6  1456.1 12275.8  60013.6    60000  1715261012675  1715261017982
read      453.8   264.4   137.8   209.5   233.0   413.5   502.0   555.6   595.6   645.6   721.0   829.0  1072.7  1468.0  9915.3  64892.4    65000  1715261019486  1715261024797
read      460.6   288.6   148.8   211.0   238.7   423.0   515.0   567.8   605.9   651.9   719.5   814.8  1024.3  1437.7 11055.9  70126.6    70000  1715261026301  1715261031614
read      455.0   259.4   148.8   216.1   243.1   414.9   500.0   551.4   592.7   644.1   716.7   815.0  1030.0  1332.3 10230.2  75200.0    75000  1715261033117  1715261038427
read      830.1   504.4   160.7   483.9   530.3   700.1   868.4  1079.2  1155.5  1220.6  1281.6  1364.6  1508.2  3999.2 20971.0  76783.2    80000  1715261039931  1715261045233
read      843.5   471.4   160.7   515.0   555.0   711.8   833.1  1090.3  1175.6  1241.8  1310.2  1389.7  1558.3  5142.8 19419.0  77532.4    85000  1715261046737  1715261052042
read      869.8   499.4   137.8   556.1   594.8   729.2   807.3  1113.4  1223.4  1296.7  1360.6  1446.2  1595.8  5029.4 20755.0  75786.6    90000  1715261053545  1715261058867
read      836.1   451.7   173.5   548.9   576.4   691.7   769.6  1101.7  1196.7  1254.3  1315.4  1380.0  1508.2  4682.0 17768.1  78648.6    95000  1715261060371  1715261065681
read      859.1   458.6   137.8   557.8   595.0   722.1   795.3  1082.3  1212.7  1288.9  1354.8  1439.6  1581.2  5223.0 16846.7  76712.6   100000  1715261067185  1715261072487
read      875.4   465.9   173.5   566.3   602.4   735.4   812.4  1102.9  1230.0  1308.9  1373.6  1462.4  1609.9  4199.4 18200.5  75266.1   105000  1715261073991  1715261079288
read      870.0   424.6   160.7   558.3   595.6   729.3   808.7  1120.1  1226.2  1299.7  1365.1  1453.5  1600.0  4909.6 14151.0  75657.0   110000  1715261080793  1715261086109
read      867.8   464.0   148.8   554.8   589.9   729.8   819.3  1112.2  1216.0  1287.8  1356.4  1450.6  1608.7  5096.4 17958.8  75943.8   115000  1715261087613  1715261092917
read      865.2   403.0   160.7   557.2   594.5   726.8   807.7  1132.0  1228.0  1295.9  1357.0  1439.3  1582.0  3532.3 13841.3  75876.8   120000  1715261094420  1715261099712
read      789.7   418.2   137.8   491.1   523.4   654.1   779.9  1046.5  1114.4  1168.8  1228.1  1297.4  1449.9  3868.8 15831.3  83111.2   125000  1715261101216  1715261106538
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.46%,73.47%,100.00%
