2024-05-11T11:32:26.301195 custom memcached AVG QPS: 8020.0
2024-05-11T11:32:26.413478 custom memcached AVG QPS: 8073.6
2024-05-11T11:32:26.522703 custom memcached AVG QPS: 8077.0
2024-05-11T11:32:26.630333 custom memcached AVG QPS: 8078.6
2024-05-11T11:32:26.738841 custom memcached AVG QPS: 7332.0
2024-05-11T11:32:26.845607 custom memcached AVG QPS: 7299.8
2024-05-11T11:32:26.958171 custom memcached AVG QPS: 7237.6
2024-05-11T11:32:27.070695 custom memcached AVG QPS: 7296.4
2024-05-11T11:32:27.178942 custom memcached AVG QPS: 7366.0
2024-05-11T11:32:27.287330 custom memcached AVG QPS: 7380.2
2024-05-11T11:32:27.397060 custom memcached AVG QPS: 7436.2
2024-05-11T11:32:27.506716 custom memcached AVG QPS: 7433.6
2024-05-11T11:32:27.614262 custom memcached AVG QPS: 7357.6
2024-05-11T11:32:27.726172 custom memcached AVG QPS: 7297.6
2024-05-11T11:32:27.833358 custom memcached AVG QPS: 7311.0
2024-05-11T11:32:27.940872 custom memcached AVG QPS: 7266.8
2024-05-11T11:32:28.050678 custom memcached AVG QPS: 7213.6
2024-05-11T11:32:28.162199 custom memcached AVG QPS: 7240.4
2024-05-11T11:32:28.269495 custom memcached AVG QPS: 7290.2
2024-05-11T11:32:28.377312 custom memcached AVG QPS: 7261.6
2024-05-11T11:32:28.490673 custom memcached AVG QPS: 7286.4
2024-05-11T11:32:28.601611 custom memcached AVG QPS: 7434.2
2024-05-11T11:32:28.713380 custom memcached AVG QPS: 7477.0
2024-05-11T11:32:28.821279 custom memcached AVG QPS: 7431.4
2024-05-11T11:32:28.929230 custom memcached AVG QPS: 7419.4
2024-05-11T11:32:29.036978 custom memcached AVG QPS: 7440.4
2024-05-11T11:32:29.148827 custom memcached AVG QPS: 7395.0
2024-05-11T11:32:29.256378 custom memcached AVG QPS: 7325.0
2024-05-11T11:32:29.365615 custom memcached AVG QPS: 7358.4
2024-05-11T11:32:29.474686 custom memcached AVG QPS: 7378.4
2024-05-11T11:32:29.582106 custom memcached AVG QPS: 7340.6
2024-05-11T11:32:29.694125 custom memcached AVG QPS: 7303.4
2024-05-11T11:32:29.806161 custom memcached AVG QPS: 7385.6
2024-05-11T11:32:29.918710 custom memcached AVG QPS: 7410.4
2024-05-11T11:32:30.025504 custom memcached AVG QPS: 7486.6
2024-05-11T11:32:30.137340 custom memcached AVG QPS: 7527.8
2024-05-11T11:32:30.245375 custom memcached AVG QPS: 7483.6
2024-05-11T11:32:30.354771 custom memcached AVG QPS: 7438.6
2024-05-11T11:32:30.466216 custom memcached AVG QPS: 7344.8
2024-05-11T11:32:30.573677 custom memcached AVG QPS: 7316.2
2024-05-11T11:32:30.686198 custom memcached AVG QPS: 7269.6
2024-05-11T11:32:30.798645 custom memcached AVG QPS: 7353.6
2024-05-11T11:32:30.910686 custom memcached AVG QPS: 7390.4
2024-05-11T11:32:31.018708 custom memcached AVG QPS: 7472.2
2024-05-11T11:32:31.130744 custom memcached AVG QPS: 7420.4
2024-05-11T11:32:31.242712 custom memcached AVG QPS: 7476.2
2024-05-11T11:32:31.349619 custom memcached AVG QPS: 7481.2
2024-05-11T11:32:31.458660 custom memcached AVG QPS: 7406.8
2024-05-11T11:32:31.570332 custom memcached AVG QPS: 7357.4
2024-05-11T11:32:31.682739 custom memcached AVG QPS: 7376.6
2024-05-11T11:32:31.794201 custom memcached AVG QPS: 7376.8
2024-05-11T11:32:31.906641 custom memcached AVG QPS: 7368.0
2024-05-11T11:32:32.016792 custom memcached AVG QPS: 7483.0
2024-05-11T11:32:32.126647 custom memcached AVG QPS: 7465.6
2024-05-11T11:32:32.238550 custom memcached AVG QPS: 7475.6
2024-05-11T11:32:32.349482 custom memcached AVG QPS: 7571.8
