Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715353809488
Timestamp end: 1715354710067

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      388.9   495.8   160.7   227.7   248.1   361.1   393.0   409.7   423.0   436.3   458.8   496.6   912.2  7618.0 21477.0   7401.6     7434
read      390.3   253.5   148.8   207.3   222.1   352.1   428.9   472.5   505.7   544.3   593.4   668.7   863.6  2466.1  9173.3  67276.4    67201
read      466.3   338.9   160.7   217.9   237.4   406.2   502.1   558.3   600.4   652.4   731.1   924.0  1310.6  2521.8 11423.4  85861.1    85927
read      387.9   223.7   148.8   208.7   223.6   349.5   426.2   470.1   503.4   543.1   591.9   666.6   860.2  2459.2  7531.0  64168.7    63953
read      416.6   379.3   160.7   206.0   220.9   357.0   452.0   506.3   543.3   583.0   632.5   735.8  1203.6  4118.5 12392.0  31737.7    31595
read      384.2   240.6   148.8   210.0   225.5   348.7   418.6   459.3   489.8   527.0   575.7   649.2   837.2  1996.9  8807.0  87785.6    87879
read      442.5   931.5   160.7   220.5   240.9   367.7   411.1   436.1   456.9   481.0   514.5   571.5  1973.0 12044.5 31260.8   7292.9     7287
read      398.2   289.9   148.8   209.1   224.1   353.8   432.9   479.3   513.7   554.5   606.5   681.9   997.9  2805.5  9921.9  62232.0    62295
read      388.6   456.3   160.7   235.9   258.5   356.9   386.5   401.8   414.9   429.6   450.9   490.2  1329.6  7575.2 16862.6   6544.9     6561
read      390.9   228.7   160.7   213.2   228.3   367.4   450.9   490.8   516.3   543.4   575.9   621.1   718.4  1573.3  8274.5  22545.4    22532
