#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      344.5   438.7   160.7   214.9   236.7   316.3   345.1   361.6   372.2   386.6   402.3   433.4   617.3  5211.8 20132.2   4958.0     5000  1715259259136  1715259264628
read      376.1   302.1   160.7   205.6   222.9   361.3   413.8   439.0   456.7   475.3   499.3   535.6   628.5  5394.2  9491.9  10036.8    10000  1715259266135  1715259271532
read      391.4   289.8   148.8   199.4   216.9   370.3   439.5   477.6   502.6   530.5   563.6   612.5   744.9  3350.7 12818.6  15016.6    15000  1715259273035  1715259278363
read      427.2   337.8   148.8   197.5   214.7   397.1   477.9   524.5   557.3   595.8   639.7   736.9   928.6  3967.7 14500.4  20095.7    20000  1715259279866  1715259285204
read      427.2   261.0   148.8   196.4   212.8   387.6   480.3   535.9   576.4   621.9   691.9   798.1   988.6  1921.7  9960.2  24940.2    25000  1715259286708  1715259292035
read      433.0   312.6   148.8   194.0   209.1   364.7   476.3   548.1   601.3   661.1   748.3   872.2  1090.2  2904.8 10249.9  30073.0    30000  1715259293539  1715259298872
read      442.8   315.0   148.8   194.3   209.1   356.7   480.8   565.9   629.6   713.4   805.7   937.0  1172.0  1736.5 12032.0  35085.4    35000  1715259300376  1715259305682
read      454.8   325.1   148.8   196.2   211.9   348.2   470.9   561.7   642.2   759.5   880.0  1037.3  1281.0  1787.3  9740.6  40095.4    40000  1715259307185  1715259312498
read      452.0   331.0   148.8   195.4   211.3   336.3   449.8   541.5   629.8   762.0   901.1  1078.6  1360.9  2241.1  7985.9  45050.7    45000  1715259314001  1715259319317
read      431.1   340.9   137.8   192.8   207.2   312.2   403.0   490.4   581.0   712.7   885.2  1096.7  1377.1  1741.6 10121.0  49823.4    50000  1715259320821  1715259326132
read      445.4   369.1   137.8   193.4   208.4   316.6   393.9   471.5   561.0   723.9   945.0  1208.0  1631.0  2230.7 11734.7  55013.4    55000  1715259327636  1715259332941
read      460.1   379.4   148.8   196.5   213.7   337.4   424.0   500.0   580.9   727.0   933.6  1215.2  1672.0  2180.3 11963.5  59934.8    60000  1715259334445  1715259339749
read      441.9   364.4   137.8   194.3   210.9   325.9   403.3   470.6   538.6   657.8   886.9  1175.4  1639.1  2270.3  9715.2  64993.0    65000  1715259341253  1715259346556
read      457.5   368.0   137.8   197.1   215.1   338.6   425.1   495.0   571.2   699.8   910.7  1197.5  1680.4  2312.9 10041.0  69956.4    70000  1715259348059  1715259353365
read      589.4   530.3   137.8   214.9   239.0   390.6   509.5   650.1   807.9  1026.5  1270.1  1727.2  2352.6  3209.9 13067.3  74775.0    75000  1715259354868  1715259360168
read      839.6   997.5   148.8   252.5   291.3   456.6   641.5  1404.8  1540.0  1640.9  1755.5  1934.3  3017.1 10541.5 32086.3  76903.4    80000  1715259361672  1715259366987
read      877.0  1273.8   137.8   252.8   291.9   467.4   630.8  1417.8  1555.4  1660.6  1766.3  1922.9  2987.9 13833.0 35960.0  76197.2    85000  1715259368491  1715259373796
read      851.1  1309.5   148.8   255.3   301.2   449.2   601.9  1376.4  1521.9  1620.1  1730.2  1881.5  2890.9 16253.5 41084.7  78683.2    90000  1715259375300  1715259380614
read      818.1  1112.0   148.8   265.0   300.5   432.1   593.7  1330.7  1486.5  1592.5  1713.5  1879.2  2898.4 14039.8 32282.9  81223.2    95000  1715259382118  1715259387423
read      843.0  1177.7   148.8   261.9   307.8   449.6   636.4  1347.5  1510.4  1611.0  1722.2  1884.0  2914.5 13425.2 35395.4  79018.8   100000  1715259388927  1715259394236
read      826.8  1252.6   137.8   255.6   300.3   429.9   557.2  1364.8  1509.2  1602.7  1713.5  1871.5  2829.8 17111.0 35375.7  80672.0   105000  1715259395740  1715259401043
read      820.1  1035.6   137.8   261.8   300.8   431.9   618.0  1399.4  1516.6  1609.6  1731.2  1881.8  2753.1 12785.9 32192.2  80821.0   110000  1715259402547  1715259407855
read      793.8  1243.9   148.8   251.9   304.5   406.1   498.2  1297.5  1463.3  1573.7  1680.0  1826.8  2758.1 16866.1 32164.8  84067.4   115000  1715259409358  1715259414657
read      846.0  1246.8   148.8   252.2   295.7   446.9   593.3  1388.8  1524.1  1623.6  1732.3  1884.8  2851.2 15970.7 35182.4  78920.2   120000  1715259416161  1715259421473
read      832.4  1092.7   148.8   251.8   294.9   449.0   620.6  1406.5  1539.0  1633.9  1722.9  1859.6  2783.5 13415.5 31728.4  79728.7   125000  1715259422977  1715259428279
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.70%,70.00%,100.00%
