Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715345603219
Timestamp end: 1715346503755

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      415.9   460.9   173.5   233.6   252.6   394.1   424.3   440.2   454.4   468.6   493.2   536.7  1094.8  6953.3 19577.6   7419.1     7434
read      385.2   244.9   173.5   222.5   235.3   341.4   407.5   450.2   484.6   529.4   586.1   664.5   835.8  2446.4  8340.4  67145.5    67201
read      421.7   238.5   173.5   229.5   245.8   373.9   446.5   493.3   529.8   574.7   635.4   755.9  1153.2  1747.4  7962.5  85910.1    85927
read      386.2   274.7   160.7   222.7   235.8   339.5   406.9   451.7   488.6   536.5   593.6   669.0   839.8  2601.4 10851.0  63980.3    63953
read      448.7   492.9   173.5   220.2   232.8   363.5   489.2   549.2   586.7   628.0   682.1   819.9  1319.4  6665.6 20004.3  31647.4    31595
read      378.6   246.8   173.5   225.3   239.3   342.9   402.1   436.9   465.1   500.8   548.1   623.9   802.0  2387.4 10532.8  87744.7    87879
read      441.0   493.9   173.5   224.2   241.2   409.0   460.0   489.3   508.8   532.8   561.5   611.0  1262.8  6167.4 18381.1   7272.9     7287
read      393.1   279.8   173.5   222.3   235.2   342.2   411.5   456.0   493.6   542.3   601.4   679.8  1040.2  2911.3  9142.6  62465.6    62295
read      414.1   550.9   187.4   238.0   259.5   387.8   415.0   429.9   440.9   457.3   475.7   514.6  1032.3  8068.4 20838.8   6581.6     6561
read      414.2   238.0   160.7   223.4   237.1   391.5   487.2   529.0   555.0   580.9   611.4   652.5   758.2  2824.2  8014.3  22484.6    22532
read      379.5   180.8   173.5   222.9   236.1   340.0   408.6   452.1   488.0   534.8   589.5   657.5   766.1  1330.4  6125.3  60525.0    60653
read      383.4   187.0   173.5   223.5   236.9   342.8   412.0   456.6   493.6   542.2   598.4   667.5   781.9  1371.2  7299.0  59074.7    59076
read      391.5   215.3   173.5   225.5   239.3   349.0   420.3   464.1   501.3   548.4   604.8   677.0   827.2  1887.7  5882.4  60129.6    60154
read      494.7   449.7   173.5   224.5   238.7   435.6   544.3   599.2   641.6   705.1   802.2   944.9  1304.3  5860.7 15442.6  23060.0    22964
read      468.1   660.2   173.5   227.4   244.5   422.0   478.9   512.4   536.5   564.1   598.3   662.4  1537.9  7942.3 31688.0   8165.4     8172
read      469.0   356.1   173.5   224.3   238.4   399.0   519.1   577.6   617.5   667.4   748.6   947.7  1326.7  3691.2 10321.3  27500.4    27652
read      446.9   341.6   173.5   223.9   237.9   364.2   470.5   540.0   584.8   632.9   692.1   857.3  1459.5  3984.3  9735.7  37492.1    37594
read      499.1   391.3   173.5   225.3   239.8   436.9   551.3   611.8   662.1   734.3   839.5   987.5  1312.0  5148.1 10832.9  24344.3    24367
read      457.2   347.2   173.5   224.6   238.8   371.7   489.3   556.9   599.7   648.9   720.4   942.4  1427.8  3993.1 10276.7  33797.8    33771
read      383.4   249.5   173.5   225.7   239.8   345.3   406.4   443.4   471.6   509.1   559.4   633.5   833.6  2906.8  9097.7  85136.9    84944
read      396.4   259.3   173.5   230.1   245.3   360.7   424.4   462.2   492.3   529.4   577.9   652.1   837.0  2612.6  8374.0  85703.3    85666
read      410.8   304.8   173.5   225.9   240.0   355.9   434.2   486.3   529.4   579.2   635.2   712.3  1104.0  2562.3  9416.3  51866.1    51918
read      431.9   400.7   173.5   222.3   235.5   355.3   468.4   532.3   572.5   613.2   660.3   743.1  1271.7  4534.1 12320.9  34461.3    34406
read      475.5   402.0   173.5   222.8   236.4   397.1   523.0   584.2   626.1   680.2   778.3   973.4  1368.3  4678.0 11161.3  28503.2    28664
read      444.9   355.9   173.5   222.8   236.2   358.3   468.0   539.3   585.0   633.5   692.8   863.6  1449.5  4111.3 10312.5  38274.2    38289
read      515.7   556.7   173.5   224.7   239.4   457.8   562.1   622.9   672.9   735.9   817.8   936.5  1306.0  7237.7 29172.1  20690.7    20658
read      512.6   653.6   173.5   225.2   241.3   459.0   552.3   604.0   639.8   680.8   730.8   813.7  1425.0  9515.6 30601.8  13777.6    13840
read      406.0   372.8   173.5   231.3   247.0   363.6   426.1   463.8   493.7   530.4   578.9   657.8   913.4  4620.7 12704.8  93323.5    93419
read      413.2   287.9   173.5   234.4   251.6   374.5   437.6   477.2   508.1   547.6   602.6   697.5   940.4  2644.5 10240.8  98269.2    98284
read      384.7   272.8   160.7   220.4   232.9   344.8   411.7   452.8   485.2   526.1   577.7   652.7   810.3  2531.9 10186.6  71319.8    71313
read      421.4   380.1   173.5   217.6   229.7   348.8   433.0   494.0   539.2   588.5   647.8   752.3  1416.3  4219.4 12911.4  42032.3    42089
read      394.4   278.5   173.5   217.2   229.0   342.8   416.6   467.3   510.3   559.3   613.7   683.1  1028.2  3095.2  8053.0  46430.8    46458
read      453.4   373.1   173.5   216.4   228.7   360.0   474.6   539.9   583.8   639.8   753.3   998.5  1418.1  4537.4 11654.4  30751.4    30755
read      420.6   419.8   173.5   217.4   229.4   348.2   428.8   486.6   531.4   580.1   637.5   735.7  1448.4  4564.0 13987.4  42931.3    42889
read      392.9   347.8   160.7   222.8   237.2   353.1   414.9   452.5   481.4   517.8   566.0   640.8   868.2  4242.6 11130.5  93514.2    93552
read      389.9   286.6   160.7   218.2   229.8   346.2   413.9   455.7   489.4   531.7   584.9   663.9   930.5  3352.2 10124.8  65739.3    65694
read      458.0   561.8   160.7   215.6   228.0   357.9   471.1   532.9   574.5   626.9   725.7   978.5  1425.6  7497.5 25167.9  29680.7    29574
read      393.9   312.7   173.5   217.3   229.3   345.9   417.2   464.3   503.1   549.3   604.7   677.5   912.8  3292.1 12171.0  51456.4    51355
read      389.3   332.1   160.7   217.0   229.0   342.8   410.1   453.0   487.0   529.1   581.9   660.4   935.2  3582.1 12520.9  67448.3    67361
read      473.9   717.8   173.5   216.9   229.5   404.0   484.4   529.7   566.6   617.8   687.7   793.7  1553.0 10553.5 31365.4  16290.8    16287
read      410.4   501.2   160.7   215.7   229.1   350.8   417.4   457.0   487.5   525.9   578.7   671.1  1577.6  6552.3 18779.5  81636.5    81508
read      393.1   335.0   160.7   221.5   235.1   349.9   412.2   450.1   479.4   516.9   567.0   645.7  1105.7  3170.2 14691.4  87704.9    87619
read      391.8   383.3   160.7   224.3   239.5   354.2   413.1   448.8   475.8   509.4   554.6   628.8   841.9  4136.7 14054.0  99120.3    99068
read      387.8   269.9   160.7   215.6   227.8   341.7   410.6   457.4   496.2   542.6   596.8   669.2   893.8  2840.6  9787.7  51153.2    51267
read      484.9   910.3   160.7   216.5   230.8   398.7   475.0   518.8   548.1   583.7   628.2   697.8  2118.2 12263.9 32222.6  11880.5    11822
read      411.5   381.2   160.7   225.8   241.7   363.6   426.1   464.3   494.8   532.9   584.6   675.7  1329.1  4455.5 14061.7  97495.6    97494
read      392.7   404.1   173.5   223.7   238.5   352.4   412.3   449.1   476.9   512.4   561.1   638.0   928.3  3695.4 10843.3  97252.4    97350
read      386.9   296.0   173.5   216.2   228.2   342.3   409.9   454.0   490.9   536.7   590.6   664.7   901.1  2692.1  9049.3  55422.9    55460
read      388.2   306.8   173.5   220.3   233.5   345.8   408.6   447.0   476.0   513.7   564.7   642.5  1000.1  3123.6  9494.0  85982.9    85984
read      389.1   315.7   160.7   219.5   232.2   346.2   409.7   448.4   478.0   516.2   568.1   648.3   975.7  3570.2  9730.9  82124.6    82043
read      388.7   358.7   160.7   214.1   226.5   339.0   407.2   451.9   488.6   534.8   589.0   661.8   887.9  4466.8 13715.5  52938.8    52873
read      518.4  1078.9   173.5   215.5   230.1   412.3   499.3   549.5   585.6   626.1   676.2   757.1  2781.3 14222.0 32444.4  13854.7    13911
read      404.9   403.6   160.7   216.8   229.1   349.5   421.6   469.1   508.6   555.3   611.3   689.1  1134.3  5342.1 13376.7  49955.8    49984
read      492.1  1128.7   173.5   217.5   231.9   389.1   453.6   489.5   514.4   543.1   581.3   642.5  3320.3 14331.1 38598.2   9255.0     9274
read      485.6   764.2   173.5   216.6   229.0   374.6   490.8   551.6   596.7   665.4   788.2   978.0  1484.2 11745.2 31739.1  27169.2    27187
read      524.5   899.6   173.5   215.7   229.6   423.5   524.5   586.6   636.7   694.1   765.7   882.7  2130.3 11771.6 32325.0  18721.5    18735
read      399.5   468.8   173.5   220.2   233.1   347.4   411.7   450.6   479.9   517.0   567.1   645.1  1107.1  6242.6 15678.1  86456.5    86505
read      389.2   437.9   173.5   221.6   235.6   349.1   409.2   445.4   472.1   507.1   552.5   626.4   811.3  4717.8 15567.0  93001.5    93039
read      395.0   466.6   173.5   219.6   231.9   346.6   413.2   453.5   485.0   524.4   575.6   652.5   848.6  6039.6 18409.1  75944.8    75999
read      473.9   729.5   173.5   218.4   230.6   359.5   471.2   537.1   581.3   634.7   737.2   993.6  1511.5 11217.8 31148.0  32280.0    32324
read      397.0   394.2   173.5   222.6   236.9   352.3   416.2   454.8   484.7   521.9   571.5   649.1   931.8  4384.1 14894.4  84325.0    84255
read      390.4   403.2   173.5   219.9   232.4   345.7   409.6   448.2   477.5   515.4   566.1   641.5   874.4  4344.1 14696.8  81806.5    81759
read      445.9   529.3   160.7   215.6   228.1   348.6   444.3   510.7   557.3   608.6   678.7   938.8  1496.2  6340.1 24253.1  37274.6    37291
read      390.5   289.3   173.5   217.9   229.6   344.6   413.3   458.2   495.9   542.4   597.8   673.4   962.8  2435.6 10771.7  53662.2    53818
read      446.0   484.7   160.7   217.5   229.5   359.7   464.1   524.1   563.8   609.6   680.6   909.5  1412.0  5558.6 20308.3  30234.8    30297
