#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      380.9   355.2   148.8   219.7   247.9   362.3   400.9   422.5   436.5   456.7   480.7   520.0   619.8  5256.1 17918.3   5014.2     5000  1715111245204  1715111250626
read      412.2   339.1   160.7   205.9   221.6   394.9   460.3   493.7   516.9   544.1   580.7   634.7   757.9  4186.9 15097.6   9891.8    10000  1715111252131  1715111257497
read      437.2   296.6   148.8   203.6   218.8   399.6   492.3   543.1   581.4   627.9   692.3   797.4   961.9  3854.6 11439.4  15173.2    15000  1715111259000  1715111264321
read      446.2   320.2   148.8   202.7   216.7   378.9   489.3   554.0   603.5   671.0   776.3   916.4  1147.9  2894.6 13949.3  19996.8    20000  1715111265824  1715111271144
read      471.9   354.4   148.8   200.6   215.8   380.4   495.7   574.8   641.5   743.8   889.3  1075.1  1356.8  1705.1 11638.8  24892.2    25000  1715111272646  1715111277966
read      464.1   371.5   148.8   198.5   212.1   341.1   458.4   542.2   620.1   745.3   948.6  1195.3  1468.5  2096.5 11543.7  29875.8    30000  1715111279469  1715111284782
read      495.4   426.7   148.8   199.5   214.3   364.6   481.1   562.6   639.3   775.1  1013.8  1352.1  1735.1  2242.9 14361.9  35040.2    35000  1715111286285  1715111291611
read      498.5   452.4   148.8   200.1   214.8   351.9   461.3   542.7   618.6   771.9  1062.9  1416.9  1870.9  3331.7 15146.0  39983.6    40000  1715111293114  1715111298413
read      480.2   462.6   148.8   195.6   208.9   320.3   411.4   486.7   554.7   670.6  1008.3  1558.3  2125.2  2811.3 11181.7  45020.2    45000  1715111299916  1715111305208
read      483.4   448.9   148.8   197.0   211.8   338.5   433.3   511.9   577.5   684.0   939.9  1451.2  2146.1  2870.0 12104.2  50057.8    50000  1715111306710  1715111312008
read      495.9   458.3   148.8   199.9   215.4   348.4   454.8   532.9   598.2   702.6   929.4  1439.2  2271.8  3115.5 12325.9  55131.4    55000  1715111313510  1715111318821
read      486.6   459.1   148.8   199.6   215.1   339.3   433.7   513.6   578.4   675.9   881.9  1456.2  2321.3  3154.2  9953.8  59939.2    60000  1715111320324  1715111325627
read      478.1   453.7   148.8   200.3   215.3   336.9   430.8   507.5   573.2   668.2   868.1  1386.9  2236.9  3166.2 12680.9  64982.1    65000  1715111327130  1715111332430
read      629.1   515.5   148.8   218.3   241.4   469.9   645.1   767.0   868.9  1016.9  1239.4  1594.0  2372.1  3818.3 12495.9  70044.8    70000  1715111333933  1715111339226
read      859.4   587.5   137.8   213.0   233.7   786.5  1012.5  1137.4  1246.6  1375.4  1556.8  1832.0  2587.3  4050.7 12618.6  73531.2    75000  1715111340729  1715111346023
read      860.5   601.1   148.8   210.4   228.8   794.1  1009.2  1136.9  1245.4  1372.3  1556.2  1843.6  2677.5  4014.3 14357.7  75408.4    80000  1715111347526  1715111352828
read      897.1   713.7   148.8   208.8   225.2   794.6  1050.7  1203.2  1329.5  1486.4  1692.7  2046.4  3029.1  5395.7 18296.6  72782.2    85000  1715111354332  1715111359616
read      923.4   757.6   148.8   209.7   224.6   797.0  1079.6  1260.1  1388.3  1569.4  1799.3  2205.0  3202.9  5694.8 17449.9  70936.8    90000  1715111361119  1715111366406
read      934.6   794.7   148.8   209.1   223.4   809.1  1100.1  1293.6  1433.5  1607.9  1838.5  2254.5  3273.6  5698.4 18432.8  70200.2    95000  1715111367909  1715111373201
read      866.4   709.3   148.8   212.3   234.5   774.7   988.4  1113.5  1227.5  1365.1  1563.8  1873.9  2868.8  5658.2 19950.3  75592.7   100000  1715111374704  1715111379999
read      963.0  2128.6   148.8   214.0   230.2   801.8  1096.4  1294.8  1439.9  1616.1  1852.8  2275.1  3393.0  7485.4 32022.6  68164.4   105000  1715111381502  1715111386803
read      895.9   658.6   148.8   209.5   226.0   826.3  1055.0  1194.9  1312.0  1451.3  1633.9  1943.2  2812.4  4563.6 16046.9  73041.2   110000  1715111388306  1715111393603
read      900.1   757.2   148.8   215.6   236.4   774.8  1024.8  1178.4  1306.1  1469.0  1689.0  2071.5  3203.1  6369.7 20298.6  72857.9   115000  1715111395106  1715111400423
read      910.8   742.0   148.8   209.5   225.2   808.7  1071.2  1230.5  1352.2  1514.3  1720.5  2093.8  2995.7  5190.5 20287.2  72044.6   120000  1715111401926  1715111407223
read      855.1   553.1   148.8   209.4   229.2   821.6  1004.2  1100.6  1196.5  1316.0  1477.1  1711.1  2263.7  3772.8 15716.1  76389.0   125000  1715111408726  1715111414029
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.25%,49.00%,100.00%
