Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715428516529
Timestamp end: 1715429417044

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      363.0   553.5   160.7   210.8   228.1   329.7   362.6   379.3   392.0   404.8   428.2   470.9   873.0  6654.3 25675.0   7375.8     7434
read      382.9   260.3   160.7   204.5   217.7   343.4   413.6   457.0   490.1   530.0   583.1   662.6   906.1  2859.6  8135.8  67148.4    67201
read      390.0   238.6   148.8   208.8   223.9   350.9   421.1   464.5   497.9   538.4   592.4   680.6   930.0  2023.7  8117.1  85830.0    85927
read      367.2   212.1   148.8   203.0   215.5   337.4   403.5   443.1   473.3   511.0   558.8   627.4   763.4  1595.8  7603.1  63892.2    63953
read      383.3   290.0   160.7   202.8   215.8   333.2   414.5   465.4   500.3   537.6   583.8   652.4  1063.1  2548.3  9117.1  31676.4    31595
read      369.1   250.8   160.7   205.3   218.9   331.9   395.5   433.4   463.2   499.6   545.5   621.0   856.6  2540.7  9291.1  87954.9    87879
read      359.0   427.6   160.7   211.5   228.3   331.0   364.6   381.6   394.1   408.0   429.8   468.9   734.6  7662.8 15518.1   7248.1     7287
read      378.1   314.4   148.8   204.4   216.8   339.1   404.4   445.8   478.2   518.9   571.4   643.5   867.0  2843.8 10991.5  62295.8    62295
read      360.2   435.4   160.7   219.4   236.7   329.9   359.6   373.7   386.3   399.2   419.6   456.9  1088.7  7140.6 16779.5   6608.7     6561
read      372.3   253.8   160.7   207.2   221.0   338.5   424.5   465.2   490.3   516.3   545.8   592.1   703.3  2277.1 10605.9  22418.6    22532
read      373.3   208.2   148.8   205.7   219.4   343.4   409.2   450.3   481.7   519.8   567.7   635.3   776.0  1646.5  8624.7  60560.4    60653
read      376.2   193.2   148.8   205.8   219.5   346.4   414.5   456.5   488.9   527.3   576.5   643.6   787.0  1472.0  6879.5  59143.9    59076
read      380.7   224.6   160.7   206.7   220.3   347.7   415.8   458.1   490.8   530.2   581.8   654.4   826.0  1847.0  9196.1  60074.4    60154
read      387.3   381.6   160.7   205.2   218.4   342.1   429.6   473.6   500.9   530.8   567.8   628.6   978.0  4296.2 14836.4  23024.4    22964
read      363.0   409.6   160.7   211.6   227.5   339.8   373.6   392.8   405.1   423.5   446.0   489.4   718.3  5562.9 17492.0   8184.1     8172
read      381.4   247.8   148.8   204.5   217.5   335.0   419.7   468.7   500.9   535.3   578.2   640.4  1031.4  2315.3  9532.2  27592.8    27652
read      389.6   221.9   160.7   205.1   219.0   346.0   420.4   469.2   505.4   547.1   600.6   678.8  1082.8  2129.0  7695.3  37571.7    37594
read      379.3   254.0   148.8   203.6   216.4   335.6   422.8   468.8   497.7   529.2   568.0   629.9   983.5  2313.5  9627.3  24414.0    24367
read      384.9   275.1   160.7   204.3   217.9   337.5   414.0   465.1   501.4   540.8   590.3   662.0  1064.8  2212.3  9317.7  33750.1    33771
read      380.9   256.7   160.7   208.4   222.7   343.8   411.1   452.8   483.8   521.3   571.3   647.3   867.5  2441.0  7508.5  84938.5    84944
read      377.0   242.6   148.8   208.2   222.3   341.3   407.5   448.9   479.6   516.8   566.4   639.2   825.5  2195.2  8450.1  85672.9    85666
read      381.5   203.6   148.8   205.7   219.2   349.5   415.5   457.9   490.8   530.8   583.6   657.1   844.8  1814.8  7578.2  51957.3    51918
read      407.2   357.0   160.7   205.5   219.6   346.1   429.7   481.8   518.5   561.3   620.2   741.0  1260.8  3987.3 10934.7  34390.2    34406
