Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715518410824
Timestamp end: 1715519311393

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      373.2   254.5   148.8   198.4   211.1   326.1   406.3   457.9   492.2   528.3   570.0   633.2  1002.0  3002.7  8923.0  30867.4    30755
read      379.9   217.7   148.8   200.7   213.9   335.0   406.6   455.4   492.5   535.5   586.9   667.1  1086.1  2099.1  6222.3  42998.0    42889
read      366.8   218.0   148.8   205.9   220.5   334.5   396.0   433.6   462.7   498.4   544.8   619.2   787.5  2148.0  7216.0  93472.0    93552
read      367.4   182.8   148.8   201.6   214.5   333.7   400.1   441.9   474.2   515.3   566.8   638.7   804.0  1700.7  5317.3  65718.0    65694
read      373.1   258.3   148.8   199.1   212.0   329.9   410.4   460.8   493.5   527.8   567.9   629.7   918.2  1789.3 12008.9  29583.2    29574
read      377.2   192.6   148.8   202.6   215.7   340.5   412.7   457.8   492.3   533.5   584.1   658.5   865.4  1731.7  5269.0  51272.0    51355
read      376.1   250.7   148.8   203.6   216.7   339.6   409.8   453.0   485.3   524.0   574.1   651.2   843.0  1853.9  9203.8  67415.6    67361
read      359.3   240.3   160.7   200.5   212.3   340.5   405.7   436.4   456.5   477.9   503.6   546.6   760.4  1995.6  9989.1  16254.6    16287
read      372.3   218.5   148.8   203.9   217.6   334.9   399.4   439.4   469.9   507.4   558.2   637.6   894.1  2360.9  7346.8  81429.6    81508
read      370.1   288.1   148.8   205.5   219.7   334.2   398.8   437.7   467.2   504.0   550.6   626.0   816.8  2146.0  9163.2  87605.2    87619
read      357.9   162.9   148.8   207.0   221.7   330.9   388.2   422.7   449.7   483.0   527.1   592.7   748.1  1420.9  5787.4  99043.8    99068
read      374.6   318.3   148.8   201.1   214.3   334.6   402.7   446.4   480.0   519.2   566.5   636.1   838.8  2863.4 10498.7  51400.8    51267
read      399.4   624.9   148.8   201.9   215.4   356.0   411.4   443.8   468.7   503.9   551.2   623.0   799.9  8933.0 30657.0  11750.4    11822
read      397.9   275.0   148.8   214.3   231.3   358.0   423.9   464.9   496.8   535.4   586.7   673.3   964.3  3003.6  8192.3  97347.2    97494
read      427.6   429.4   148.8   216.8   234.9   368.7   438.9   482.7   516.2   558.6   619.6   734.6  1555.8  6183.4 11832.6  97142.6    97350
read      393.1   412.1   148.8   202.8   216.0   337.7   408.1   453.7   488.8   530.9   585.5   674.1  1277.5  6058.6 10738.0  55269.6    55460
read      420.1   366.8   148.8   205.9   221.9   355.5   429.5   476.5   513.2   561.7   635.5   808.0  1538.8  3193.1 11770.9  86074.4    85984
read      374.1   287.3   148.8   204.6   218.5   335.4   401.5   442.9   474.0   510.6   559.2   635.6   863.6  2458.2  8091.5  82056.0    82043
read      381.6   357.1   148.8   200.8   213.6   334.2   403.8   449.4   484.6   527.4   580.3   658.4  1022.9  3479.1 10927.5  52843.4    52873
read      396.1   493.6   160.7   197.8   210.9   356.1   419.0   453.7   480.8   520.3   578.0   666.4   871.0  8225.5 19047.3  13908.2    13911
read      373.9   226.8   148.8   199.6   212.5   331.4   400.1   446.2   482.1   524.5   577.1   652.9  1031.5  1961.2  7562.7  49912.4    49984
read      386.4   656.7   160.7   201.2   215.1   339.9   388.5   416.8   437.3   466.5   504.5   564.4   892.2  8380.9 31274.0   9189.4     9274
read      415.0   359.8   148.8   196.7   209.6   336.0   441.2   499.1   541.0   601.5   724.2   888.4  1154.7  3770.5 11012.3  27188.6    27187
read      404.9   364.5   148.8   198.3   211.0   361.1   444.8   487.7   521.0   570.4   648.2   755.1   963.4  3676.4 12835.8  18669.2    18735
read      377.6   278.3   148.8   204.4   218.4   333.5   398.1   436.3   466.6   503.8   551.7   634.1  1328.3  2800.1  7378.1  86463.0    86505
read      368.4   230.6   148.8   206.0   220.7   334.8   396.9   433.8   462.5   497.7   543.8   618.3   805.5  2495.8  8069.1  92883.8    93039
read      365.1   187.8   148.8   201.8   214.7   328.4   394.9   435.9   467.9   506.8   556.5   633.1   842.6  1825.5  6460.1  76033.2    75999
read      448.1   621.4   148.8   198.4   211.6   336.4   443.0   513.0   565.8   646.4   814.2  1001.4  1334.4  7704.5 31781.5  32316.0    32324
read      371.4   230.7   148.8   204.7   218.6   333.6   399.5   439.4   469.6   506.7   554.3   631.2   843.6  3114.2  7373.4  84333.6    84255
read      357.3   221.5   148.8   201.3   214.0   323.0   386.2   423.9   453.7   490.3   537.4   609.7   782.5  1835.0  7869.0  81650.4    81759
read      401.8   363.4   148.8   201.8   214.7   338.8   420.0   473.1   512.7   557.6   615.0   732.5  1267.2  3652.3 13007.4  37291.0    37291
read      373.1   230.4   148.8   200.4   213.1   332.0   400.8   445.9   481.9   525.5   578.2   653.3   912.8  2051.6  8146.0  53895.6    53818
read      436.2   498.8   160.7   199.2   212.2   338.2   445.3   510.6   559.8   633.6   771.9   945.6  1247.8  6432.5 14463.8  30310.2    30297
read      435.3   352.7   148.8   199.6   213.0   337.7   447.5   517.7   573.6   668.0   821.5   984.9  1259.6  3549.4 10283.9  31548.0    31569
read      374.9   211.3   148.8   199.8   212.7   331.5   405.5   455.2   492.1   533.0   580.8   649.1   984.4  2030.4  7668.8  38922.8    38927
read      400.9   677.0   160.7   200.7   214.9   353.5   408.6   441.1   466.5   500.1   543.6   611.2   862.1  9374.0 30393.7  10612.0    10652
read      384.8   323.3   148.8   208.0   223.4   342.2   402.5   439.1   467.5   504.0   552.7   638.0  1295.7  3087.8 11018.6  97990.0    98119
read      374.3   305.9   148.8   200.2   213.1   334.0   403.7   451.3   486.3   526.5   575.9   643.1   832.8  2246.2 10240.6  48228.0    48176
read      398.3   291.3   148.8   199.1   212.2   335.5   422.4   477.1   515.1   558.2   615.4   740.2  1261.6  3354.3  8067.4  34998.4    34929
read      364.2   245.6   148.8   199.7   212.6   326.4   390.6   430.3   461.6   499.9   548.5   625.0   822.4  2637.3  8159.7  69621.0    69735
read      409.0   359.1   160.7   198.3   210.9   355.4   446.6   491.9   526.3   575.7   662.9   786.0  1002.7  4441.0 15162.8  20702.4    20753
read      379.6   439.0   148.8   201.8   214.9   329.2   391.5   428.4   458.0   495.6   545.1   630.6  1382.6  4046.3 15211.5  84541.6    84642
read      366.3   236.6   148.8   198.2   211.2   326.1   396.8   443.2   479.4   520.1   567.2   632.6   811.9  2323.0  8593.5  42418.4    42333
read      367.9   243.4   148.8   200.3   213.1   331.7   397.6   438.0   470.6   509.9   559.4   631.7   804.5  2437.1  8535.5  61825.4    61587
read      369.9   274.4   148.8   203.1   216.3   332.7   400.0   440.8   471.4   508.8   559.2   636.6   831.3  2039.4 10503.0  77981.6    77998
read      369.4   222.6   148.8   207.5   222.7   337.2   396.8   433.2   461.7   497.0   543.4   620.2   822.6  1944.3  7959.7  97740.2    97625
read      429.8   464.6   160.7   199.7   212.4   353.3   455.3   507.2   546.3   601.7   709.6   866.8  1149.2  7007.4 12652.3  23652.8    23781
read      374.0   214.7   148.8   202.9   215.8   335.4   404.0   447.3   479.9   520.0   572.6   648.6   886.3  2261.2  6803.7  66745.2    66723
read      431.2   326.8   148.8   198.8   211.8   338.7   449.3   516.6   568.3   649.7   799.5   975.4  1250.0  3345.1  8118.1  31117.8    31016
