#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      425.4   505.1   173.5   251.3   277.7   390.9   429.2   449.9   463.9   482.2   506.1   547.7   860.6  8945.0 19741.7   4980.0     5000  1715151054298  1715151059684
read      429.2   283.3   160.7   232.7   251.7   417.3   478.3   508.2   529.9   552.6   585.5   633.7   765.4  4067.2  9995.4  10035.4    10000  1715151061190  1715151066542
read      477.4   275.5   160.7   233.2   253.9   463.9   561.9   609.6   640.4   674.7   714.0   769.2   892.1  2804.2  8629.0  14990.5    15000  1715151068045  1715151073357
read      470.5   328.9   160.7   227.9   247.3   430.4   544.3   601.6   639.9   680.4   726.9   791.3   926.8  5139.6 12550.3  20112.8    20000  1715151074861  1715151080164
read      494.1   265.6   160.7   231.5   254.4   462.0   570.3   632.7   676.0   721.9   774.8   848.4   990.0  1358.1 11277.9  25075.8    25000  1715151081668  1715151086985
read      486.0   263.8   160.7   230.1   252.1   448.1   547.0   609.9   656.1   707.2   766.8   854.2  1031.8  1528.0  9630.7  30025.8    30000  1715151088489  1715151093796
read      512.8   276.2   160.7   235.4   258.8   477.6   581.6   643.2   689.2   741.0   806.2   907.7  1113.8  1656.3  9553.5  35051.6    35000  1715151095300  1715151100596
read      495.9   268.9   160.7   231.0   253.2   457.3   560.3   622.4   669.2   722.8   788.1   877.8  1072.1  1820.6  8787.8  40121.8    40000  1715151102101  1715151107397
read      499.4   272.0   160.7   228.2   249.9   463.4   565.9   626.2   671.3   724.8   793.0   891.3  1099.3  1678.3  9062.4  44972.4    45000  1715151108900  1715151114188
read      501.5   303.5   160.7   228.1   250.5   457.4   562.8   626.7   675.3   732.1   803.6   917.0  1143.3  1746.7 12440.9  49985.4    50000  1715151115692  1715151120982
read      482.0   271.8   160.7   224.2   245.3   434.4   540.5   605.7   653.2   709.1   779.1   882.3  1089.3  1815.9  9887.8  54808.6    55000  1715151122486  1715151127774
read      503.2   287.6   160.7   230.9   255.1   461.9   567.1   628.6   675.9   731.0   799.0   905.4  1118.2  1514.8 12082.1  59887.0    60000  1715151129278  1715151134567
read      487.2   281.7   160.7   227.1   250.3   444.2   543.1   605.8   652.3   708.3   778.1   876.8  1089.7  1623.2 10787.9  64870.0    65000  1715151136071  1715151141359
read      569.2   310.1   160.7   256.6   294.6   522.9   629.8   695.3   746.8   809.3   895.0  1029.4  1276.8  1901.9 11517.0  69984.4    70000  1715151142863  1715151148152
read      919.2   779.5   173.5   564.7   603.4   757.9   858.5  1151.3  1260.0  1339.1  1418.9  1517.2  1715.2 11894.7 30308.3  71592.8    75000  1715151149656  1715151155037
read      970.8   755.2   173.5   622.7   658.7   796.4   872.0  1216.7  1362.1  1439.1  1511.0  1600.1  1788.8 12383.3 28353.9  69052.8    80000  1715151156543  1715151162284
read      981.3   910.0   202.4   631.7   666.5   797.7   866.8  1102.8  1366.5  1448.6  1523.9  1604.3  1792.0 15744.3 33664.4  69236.0    85000  1715151163789  1715151169588
read      874.6   443.5   173.5   561.8   596.5   724.8   818.9  1156.8  1242.8  1309.0  1368.7  1454.3  1602.5  4637.0 16372.4  75173.6    90000  1715151171093  1715151176389
read      880.7   507.5   160.7   563.9   600.9   733.0   812.4  1136.2  1247.9  1321.9  1386.8  1469.7  1605.8  5166.1 21844.6  74838.4    95000  1715151177892  1715151183188
read      875.8   458.4   218.6   562.8   598.1   726.9   807.8  1141.9  1242.5  1314.7  1378.2  1461.8  1600.3  5141.7 16111.2  75276.2   100000  1715151184691  1715151189989
read      913.3   459.2   187.4   597.1   627.2   758.4   847.9  1195.0  1303.9  1373.2  1440.1  1517.8  1692.2  5144.3 16032.2  72221.6   105000  1715151191493  1715151196787
read      903.4   449.4   173.5   596.9   625.7   748.1   830.0  1182.8  1295.0  1361.5  1430.0  1502.7  1656.8  4069.4 15895.7  72916.8   110000  1715151198291  1715151203578
read      984.8   544.0   173.5   640.8   678.0   829.4   918.6  1185.2  1389.7  1480.2  1562.5  1661.2  1838.2  6355.4 19827.5  67127.6   115000  1715151205081  1715151210391
read      956.5   474.3   187.4   624.7   660.2   800.3   883.5  1202.7  1350.9  1436.2  1514.0  1604.7  1764.9  4863.1 16846.1  68920.6   120000  1715151211895  1715151217192
read      947.2   489.6   173.5   630.4   661.5   791.6   865.5  1144.4  1352.3  1431.8  1499.1  1587.1  1734.5  5754.7 18537.8  69753.8   125000  1715151218696  1715151224006
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 58.25%,16.50%,100.00%
