Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715368648844
Timestamp end: 1715369549343

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      369.0   623.1   148.8   206.5   224.1   329.8   361.3   378.3   392.1   406.9   432.2   480.4  1048.9  8057.0 31678.0   7458.8     7434
read      376.9   276.4   137.8   195.5   209.2   330.3   398.8   442.1   475.4   516.8   572.2   664.7  1190.2  2748.6  9382.1  67227.6    67201
read      456.0   372.7   148.8   208.3   226.7   386.2   482.8   542.4   588.2   646.7   734.4   926.2  1363.7  3695.3 12006.7  86104.8    85927
read      361.1   184.4   137.8   193.8   207.5   330.5   398.3   439.1   469.9   506.9   551.4   624.2   795.8  1447.0  5799.5  64022.2    63953
read      388.7   319.9   148.8   192.1   205.3   328.9   417.9   469.2   504.3   544.1   602.6   766.1  1122.7  2351.6 10927.1  31603.8    31595
read      373.4   318.9   148.8   195.7   210.0   331.7   400.4   441.2   470.7   507.5   556.0   638.3   917.4  3503.8 11981.3  87837.4    87879
read      381.6   793.8   148.8   199.6   216.6   326.3   364.9   387.8   403.9   426.9   456.4   504.0  1349.3 11011.0 32289.2   7268.3     7287
read      379.6   302.5   148.8   196.6   210.3   331.9   403.2   449.2   483.8   525.2   578.8   667.0  1110.7  2871.9 10075.9  62131.2    62295
read      356.0   440.2   160.7   214.9   234.0   329.5   356.6   370.3   381.3   394.7   411.9   445.9   764.4  7549.9 19526.1   6554.9     6561
read      365.1   281.1   148.8   196.4   209.5   337.9   418.5   456.3   480.5   506.0   536.9   582.0   696.7  2161.7 10147.8  22554.2    22532
read      372.7   194.7   148.8   195.5   209.6   340.1   415.4   458.8   489.9   526.1   572.2   647.8   837.1  1369.6  6265.1  60686.6    60653
read      389.3  1863.2   148.8   196.7   210.8   335.9   411.6   457.1   489.9   527.9   575.1   651.1   848.9  1563.2 10850.4  59086.6    59076
read      378.7   218.0   148.8   197.7   211.8   339.7   413.4   458.4   492.5   533.4   585.0   667.6   898.8  2129.2  6880.1  60084.6    60154
read      405.4   298.9   148.8   196.5   209.9   349.6   445.9   494.3   528.5   573.7   657.4   810.5  1056.7  2579.3 12056.6  22980.3    22964
read      370.3   377.8   160.7   207.4   224.2   345.0   384.9   405.8   423.3   443.3   471.8   530.2   860.7  5612.3 12691.3   8173.5     8172
read      413.1   356.2   148.8   196.7   210.7   338.2   435.0   491.4   531.4   583.9   688.8   895.3  1183.2  3123.7 12084.0  27694.8    27652
read      404.6   288.6   148.8   195.8   209.8   336.8   421.4   475.5   516.6   566.1   639.0   852.7  1317.2  2295.4  9795.5  37626.7    37594
read      404.9   305.5   148.8   194.3   207.5   340.2   435.0   486.0   523.0   573.4   675.1   848.3  1102.6  3311.7 10776.2  24362.1    24367
read      414.2   300.4   148.8   194.6   208.3   334.2   424.8   483.1   527.8   586.2   705.3   974.5  1303.1  2384.4  8061.8  33770.3    33771
read      379.5   321.6   148.8   203.8   218.9   340.5   410.5   453.0   484.4   523.0   575.1   660.4   881.9  2473.5  7040.3  84766.3    84944
read      371.5   202.9   148.8   199.3   213.9   337.9   406.6   448.2   478.5   516.3   566.6   645.0   840.0  1567.6  7500.9  85570.3    85666
read      382.4   478.1   148.8   195.8   210.1   344.1   419.6   464.3   497.3   535.4   583.9   663.3   877.2  2613.2  9218.8  51906.7    51918
read      417.4   422.0   148.8   196.4   210.6   344.1   431.5   483.5   522.4   570.5   642.5   849.0  1364.2  5607.0 13068.4  34409.5    34406
read      380.7   314.6   148.8   195.6   209.3   334.4   423.1   468.9   499.0   531.4   570.8   637.6   971.9  3789.7 10204.8  28571.1    28664
read      385.5   376.0   148.8   195.0   208.6   333.3   416.1   465.0   500.1   539.9   588.1   668.7  1064.4  3346.4 14151.0  38191.0    38289
read      456.5   471.7   148.8   195.9   210.2   384.2   494.1   567.5   630.0   694.9   767.1   866.7  1169.0  5908.0 19251.0  20739.1    20658
read      456.3   737.0   148.8   200.5   216.5   385.1   472.0   525.8   562.9   605.7   656.6   733.6  1387.9 10510.6 31779.2  13803.2    13840
read      394.0   383.6   148.8   204.3   220.4   346.0   415.1   456.9   488.5   527.4   579.8   672.4  1015.2  5129.2 11221.2  93496.4    93419
read      382.4   296.8   148.8   203.5   219.5   343.8   410.6   451.4   481.7   519.8   572.3   660.1   893.8  2840.4 10489.3  98087.1    98284
read      379.5   375.9   148.8   200.3   214.7   335.7   406.5   451.7   485.7   527.0   580.4   664.8   908.0  2771.9 10151.0  71283.8    71313
read      383.4   396.4   148.8   199.0   213.5   335.3   420.1   474.1   513.6   557.1   606.6   674.8   854.2  2116.6  8986.7  42368.2    42089
read      385.4   273.2   137.8   197.6   212.4   340.7   423.3   473.5   510.3   551.7   602.6   674.9   889.1  2050.8  9587.3  46518.3    46458
read      423.6   401.5   148.8   196.5   211.1   346.3   453.8   512.3   552.1   600.3   680.1   883.3  1240.6  4257.3 11223.9  30659.8    30755
read      388.9   281.3   148.8   195.2   209.7   338.9   421.8   472.4   509.8   551.5   603.8   684.5  1118.3  2695.0  9948.3  43005.7    42889
read      377.7   231.7   137.8   203.3   219.2   340.5   408.9   450.7   482.0   520.3   572.0   654.0   869.1  1981.3  7425.8  93528.6    93552
read      386.0   288.5   148.8   203.4   218.0   340.2   416.1   463.9   500.6   543.9   599.5   682.5   916.9  2363.3  9838.6  65731.4    65694
read      423.2   405.5   148.8   198.6   212.5   341.5   450.3   510.3   550.4   599.3   680.7   867.8  1226.9  4659.1 14596.5  29679.3    29574
read      385.1   275.7   148.8   199.6   214.3   335.2   410.1   461.2   501.0   547.3   604.6   682.6  1009.2  2515.9  9793.5  51385.7    51355
read      380.5   244.4   148.8   200.2   214.8   337.0   407.4   452.8   488.5   532.6   588.5   671.8   929.8  2554.6  6849.1  67482.1    67361
read      457.0   680.1   148.8   209.6   225.9   392.7   481.9   535.0   575.6   623.2   677.9   756.0  1187.0  9745.7 31496.2  16241.5    16287
read      394.1   363.4   148.8   204.8   219.9   340.1   410.3   453.4   486.5   528.4   584.9   682.1  1423.0  4546.1 10278.2  81631.6    81508
read      379.7   299.2   148.8   205.8   221.0   339.2   406.0   448.4   480.4   520.2   573.4   656.7   865.5  2922.7  9989.1  87595.9    87619
read      389.8   308.0   148.8   208.4   224.9   347.7   414.7   456.6   489.4   530.5   585.5   681.2   951.0  2708.6 13237.9  98960.5    99068
read      381.7   268.7   148.8   202.1   216.1   335.5   411.3   461.5   499.3   543.2   595.7   670.5   893.8  2255.4  8777.7  51329.8    51267
read      415.1   596.8   160.7   211.0   227.1   367.6   431.7   467.7   494.6   526.4   567.2   629.9  1030.5  7898.7 29409.4  11796.0    11822
read      401.0   448.8   148.8   207.7   224.0   348.1   416.8   458.9   491.4   532.5   589.6   699.4  1306.7  3858.5 14599.9  97422.3    97494
read      367.6   224.2   148.8   205.1   220.5   333.3   395.3   433.2   463.0   500.0   548.7   627.8   815.7  1810.4  7949.6  97578.9    97350
read      373.3   246.0   148.8   201.5   214.9   329.3   399.5   447.3   484.8   529.3   582.3   654.1   844.6  2229.0  7758.4  55421.7    55460
read      369.2   250.9   148.8   204.4   218.7   330.6   396.1   435.9   467.5   506.8   557.9   636.1   832.3  2140.2  8622.2  86003.7    85984
read      369.8   268.3   148.8   203.8   217.9   331.2   398.7   439.4   470.8   509.0   559.4   636.1   817.2  2193.6  9920.7  81936.5    82043
read      372.3   254.0   148.8   201.0   214.4   328.0   399.4   447.5   484.5   528.2   580.0   649.5   844.0  2090.9  8267.1  52838.7    52873
read      431.6   558.5   160.7   209.0   225.0   377.2   452.9   497.4   530.8   569.7   617.7   686.8  1194.2  7960.0 30312.1  14018.6    13911
read      377.3   310.3   148.8   200.2   213.8   328.7   401.6   451.3   488.8   532.3   584.1   655.6   882.5  3720.9 10067.4  49950.3    49984
read      424.9   761.9   160.7   212.9   229.4   358.3   414.7   447.0   469.1   496.9   531.2   587.0  1629.8 10500.8 35545.4   9254.1     9274
read      420.0   436.6   148.8   203.4   217.5   345.8   448.8   503.5   541.5   588.3   669.4   829.1  1185.2  4367.8 16988.9  27135.1    27187
read      465.5   626.8   148.8   207.5   222.9   395.1   495.4   562.0   612.2   666.2   725.4   808.7  1214.1  7839.8 31275.8  18736.6    18735
read      382.5   340.1   148.8   203.7   217.9   333.6   400.1   439.4   469.9   508.9   562.3   651.2  1384.2  2969.9 12391.5  86480.2    86505
read      368.5   336.7   148.8   203.0   218.3   332.4   396.2   434.6   464.5   501.4   548.9   627.0   816.2  2499.0  9369.4  92941.5    93039
read      374.5   284.4   148.8   202.2   216.6   332.5   400.5   442.4   474.6   515.3   568.5   648.8   869.8  3009.0 10989.5  76021.0    75999
read      420.7   398.1   148.8   204.0   218.1   339.8   445.1   507.4   548.1   596.4   671.1   855.5  1238.3  4209.8 12454.8  32445.7    32324
read      384.7   345.4   148.8   205.9   220.8   336.4   403.6   445.5   477.3   518.2   572.8   660.2  1008.4  4406.8 10006.0  84165.1    84255
read      373.0   287.2   148.8   204.2   218.6   332.5   398.6   439.8   471.6   511.7   564.8   642.4   845.8  2861.2  9762.0  81869.5    81759
read      391.3   263.0   148.8   202.8   216.3   330.6   419.9   478.1   518.6   561.8   613.9   699.6  1130.1  2727.8  9170.7  37295.1    37291
read      379.6   264.0   148.8   202.8   216.8   333.4   407.0   456.8   495.4   540.9   594.4   668.7   871.2  2244.7  9847.9  53667.9    53818
read      421.4   445.4   148.8   203.5   217.4   342.4   447.4   505.9   545.8   592.6   669.4   844.9  1207.1  5545.2 15949.3  30331.5    30297
read      425.6   440.3   148.8   203.5   217.5   341.0   445.7   507.0   548.7   599.9   685.0   869.4  1225.1  6398.3 15659.2  31618.2    31569
read      381.9   296.3   148.8   202.0   215.7   331.1   414.6   469.1   508.4   550.0   596.9   661.1   866.7  2326.7  9768.6  39030.7    38927
read      459.6   878.5   160.7   214.0   230.8   380.6   455.7   496.9   525.5   556.8   594.5   668.5  1832.9 12462.3 35414.5  10589.6    10652
read      464.2   679.0   148.8   216.9   236.6   383.8   462.8   511.9   550.2   601.1   675.0   805.2  1505.6  8631.5 31024.1  98077.7    98119
read      391.7   434.7   148.8   203.0   216.7   336.6   415.1   466.6   505.1   549.1   602.6   676.5   918.9  5535.3 19597.1  48143.5    48176
read      419.6   455.1   148.8   203.1   217.2   340.6   438.1   499.6   541.5   589.3   656.0   817.0  1268.1  5795.7 13741.9  35005.0    34929
read      376.1   279.1   148.8   203.7   218.2   334.6   405.6   451.5   486.3   528.4   580.5   654.1   819.3  2360.0 10429.9  69921.4    69735
read      373.2   258.8   148.8   205.3   220.0   344.9   430.2   466.1   488.2   510.5   537.8   576.8   664.6  2902.4 11625.9  20752.2    20753
read      355.4   180.4   148.8   202.5   216.2   325.6   389.9   428.2   457.5   492.8   538.1   603.5   728.6   955.2  6477.0  84662.6    84642
read      363.9   191.3   148.8   199.4   213.4   326.0   399.9   450.4   487.3   527.2   570.4   623.9   721.5  1521.6  7609.8  42315.1    42333
read      359.1   175.0   148.8   200.4   214.2   327.5   393.9   435.6   468.9   507.9   555.9   618.1   726.6   953.1  5932.6  61463.1    61587
read      358.2   170.3   148.8   202.1   215.8   327.0   393.3   432.8   463.7   500.5   546.8   615.4   740.8  1001.3  5436.1  78020.1    77998
read      355.7   168.6   137.8   204.8   219.8   329.4   389.2   424.7   451.9   484.6   527.8   591.5   726.1   992.4  5813.3  97635.6    97625
read      365.6   210.0   148.8   202.6   216.6   330.4   423.8   465.8   490.6   515.8   543.3   582.5   663.5  1606.3  8151.1  23835.5    23781
read      358.7   186.8   148.8   201.1   214.8   327.4   393.2   433.6   465.2   503.6   550.2   614.0   729.7  1033.2  6248.5  66776.7    66723
read      362.9   218.5   148.8   199.0   212.9   321.0   408.5   459.7   491.4   523.6   557.8   602.3   689.9  1702.2  8133.9  31131.2    31016
read      363.9   167.6   148.8   200.0   214.3   329.6   400.8   448.1   483.8   524.0   568.9   624.9   726.1  1060.6  5829.7  47413.9    47394
read      353.4   183.9   148.8   204.0   218.5   327.1   386.8   421.9   448.7   481.3   524.1   587.0   714.6   939.0  7770.4  95350.5    95335
read      359.3   495.4   160.7   230.0   253.0   327.0   351.2   364.7   373.2   386.6   400.9   434.4  1111.3  7982.6 17414.7   5241.4     5252
read      358.0   157.9   137.8   201.8   215.4   327.4   393.7   434.0   466.0   504.8   551.0   613.6   722.6   957.6  4482.2  65828.6    65908
read      371.9   244.0   148.8   209.8   224.6   357.1   426.6   456.3   474.6   494.3   516.7   548.8   630.9  2450.3 10293.2  16902.0    16889
read      361.4   181.4   148.8   199.5   213.5   324.4   397.4   446.9   483.1   522.9   565.9   619.7   717.0  1262.4  6317.7  42898.8    42912
read      358.3   270.2   148.8   205.6   220.8   332.4   392.1   427.0   453.6   485.6   528.6   593.3   738.3   984.4  7267.1  99928.3    99898
read      367.7   219.1   148.8   201.2   215.2   328.4   422.8   469.0   496.4   524.3   553.5   592.8   678.0  1873.3  8545.0  26390.2    26385
read      369.3   234.1   148.8   204.0   218.4   336.0   427.1   467.4   491.6   516.6   543.8   583.3   664.9  2074.1  9727.9  22605.7    22616

Total QPS = 51589.1 (46430192 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11468257424 bytes :   12.2 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.95%,50.00%,100.00%
