Random waveform, supplied seed
Total number of intervals = 600 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463, 35396, 33885, 11712, 51485, 59378, 94757, 71707, 6184, 52631, 31188, 92326, 78268, 78655, 29798, 96196, 39289, 13806, 86543, 67095, 15164, 21544, 80587, 90870, 18274, 33727, 11433, 17009, 61531, 77691, 75329, 79936, 74872, 7464, 12219, 19906, 18108, 6498, 5794, 54376, 12545, 86110, 9730, 82140, 78511, 68231, 11420, 89777, 75189, 96119, 69998, 79345, 21991, 99920, 15067, 96201, 28442, 23738, 9437, 97039, 39843, 11616, 56350, 24650, 33825, 54193, 76287, 30507, 43736, 81903, 80570, 90992, 78961, 37791, 97764, 71081, 32361, 41597, 36321, 97570, 50500, 32308, 14115, 64826, 67795, 92688, 74427, 31361, 50686, 26859, 15666, 97479, 40641, 35398, 68885, 82658, 37588, 19382, 39597, 57154, 52183, 7024, 16027, 79406, 98199, 75565, 48872, 37140, 91170, 18318, 24202, 7149, 28608, 59337, 71066, 68555, 47586, 81864, 84384, 73197, 58808, 8661, 67893, 27081, 38973, 25147, 30015, 43619, 98527, 67442, 59250, 31042, 23168, 12188, 68103, 44810, 85198, 64988, 38245, 39413, 9583, 89844, 70336, 56324, 64001, 79935, 64293, 40603, 58949, 7297, 42332)
Average QPS expected = 50396
Timestamp start: 1715523166996
Timestamp end: 1715524067912

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      399.4   409.0   148.8   206.2   222.6   349.3   414.5   455.7   486.6   524.6   576.8   669.4  1249.4  4981.8 13691.2  93323.3    93552
read      380.5   232.2   148.8   200.1   214.1   341.2   413.3   455.1   486.6   524.7   575.8   662.0  1043.1  1932.6  7622.1  65717.3    65694
read      377.1   258.4   148.8   196.3   209.6   326.1   410.5   459.9   491.7   526.5   569.3   639.0  1056.1  3648.0  8631.0  29786.0    29574
read      371.2   242.1   148.8   198.9   212.9   332.8   399.9   442.7   476.7   517.6   567.1   639.4   873.0  2209.3 10864.9  51746.0    51355
read      370.4   212.5   148.8   202.7   216.2   336.2   405.1   447.8   480.2   518.1   566.4   641.5   836.7  1383.0  6687.7  67488.0    67361
read      347.4   245.4   148.8   199.7   211.9   334.6   394.3   421.3   438.2   457.8   480.8   515.2   615.7  1649.6  8470.2  16498.0    16287
read      364.7   217.0   148.8   200.3   214.3   328.4   391.5   429.7   460.0   497.1   544.9   624.1   877.3  2666.1  7779.0  81298.0    81508
read      369.9   465.3   148.8   198.3   212.4   324.4   386.6   424.1   454.1   492.5   541.5   620.3   892.9  3961.8 14651.2  87416.0    87619
read      417.2   208.1   148.8   215.9   235.1   375.7   447.3   491.8   527.0   574.9   646.0   781.0  1014.7  1735.7  6529.3  99120.7    99068
read      381.2   215.7   148.8   203.9   218.7   347.5   421.3   465.6   499.5   536.7   583.9   663.4   839.1  1271.5  9016.7  51186.7    51267
read      357.7   360.4   160.7   204.1   217.5   343.2   389.1   410.9   426.1   442.9   463.9   498.7   690.7  4336.1 14199.9  11834.7    11822
read      398.0   249.7   148.8   209.8   226.8   356.3   424.2   467.4   500.6   541.7   600.7   712.3  1008.4  2226.5  8641.6  97320.0    97494
read      356.6   184.3   148.8   204.7   219.1   330.2   388.9   422.6   448.5   480.3   522.1   587.4   745.0  1397.7  8499.1  97351.3    97350
read      368.2   336.8   148.8   200.4   214.1   332.9   399.0   438.2   468.3   505.3   550.3   618.0   781.7  3799.3 10054.6  55074.7    55460
read      354.8   155.0   148.8   202.3   215.7   326.5   390.1   426.6   454.3   487.4   530.2   594.4   746.0  1228.3  4185.9  85962.0    85984
read      369.8   170.2   148.8   203.2   217.6   336.9   404.9   446.8   477.5   515.0   564.0   639.6   821.7  1319.6  5437.0  81663.3    82043
read      373.8   182.6   148.8   203.4   217.4   341.0   412.1   456.3   488.4   525.2   570.7   639.6   823.1  1316.6  5141.8  53126.7    52873
read      354.1   310.7   160.7   201.0   213.6   345.0   393.4   417.1   432.8   451.4   471.0   505.4   591.5  4768.3 12844.4  13831.3    13911
read      381.8   257.2   148.8   204.0   218.5   345.1   418.8   462.1   494.8   532.7   580.3   656.5   852.5  1466.5 10663.3  49982.7    49984
read      353.1   466.4   160.7   205.0   219.6   330.7   367.3   385.7   397.6   411.9   429.3   458.1   540.4  7993.4 18429.1   9268.0     9274
read      357.2   160.3   160.7   199.3   211.8   329.0   405.0   446.0   473.1   503.3   538.1   588.4   704.9  1070.4  5506.8  27196.0    27187
read      352.7   203.0   160.7   200.4   212.5   334.5   404.2   436.0   455.4   475.5   500.7   538.2   630.2  2485.5  8279.5  18563.3    18735
read      363.1   208.5   148.8   202.7   217.5   332.2   397.2   436.1   466.3   501.4   545.5   617.1   773.2  1133.7 11999.1  86109.3    86505
read      383.9   202.5   148.8   212.1   228.4   354.1   421.0   460.3   489.8   525.4   573.6   649.7   821.7  1266.8  7547.1  92853.3    93039
read      378.1   172.4   148.8   206.0   221.2   346.2   417.3   459.1   490.3   527.6   575.8   650.3   814.8  1303.4  4009.7  76242.7    75999
read      369.3   254.6   148.8   200.3   213.6   332.5   408.9   453.9   484.5   517.0   555.9   614.4   773.0  2280.2  7615.5  32457.3    32324
read      371.2   187.5   148.8   203.4   217.8   336.3   403.1   445.0   476.1   512.9   563.3   646.9   868.6  1371.5  5279.7  84218.7    84255
read      362.5   161.0   148.8   203.0   217.2   333.4   397.5   436.2   466.3   502.0   546.1   617.7   777.5  1322.0  4023.1  81917.3    81759
read      372.7   242.0   148.8   201.2   215.3   338.5   413.1   456.9   487.6   521.5   561.5   625.6   772.9  1934.5 10415.6  37356.0    37291
read      376.1   223.4   148.8   203.0   216.5   341.8   414.5   458.0   491.0   529.3   576.7   649.8   832.8  1302.8  8454.6  53953.3    53818
read      370.2   309.5   148.8   199.0   212.6   331.2   411.6   457.8   488.8   521.6   558.5   616.7   759.0  2287.5 15757.9  30337.3    30297
read      376.7   325.5   148.8   199.8   213.3   335.6   416.5   461.5   491.6   524.1   562.9   623.1   782.2  3485.6 12640.0  31531.3    31569
read      371.9   239.7   148.8   200.5   213.7   336.7   411.1   454.8   486.3   522.2   566.2   631.3   798.4  1693.9  9558.8  38853.3    38927
read      342.0   398.0   160.7   202.5   215.2   328.9   369.7   389.6   402.1   418.2   435.1   466.9   555.0  3910.9 18551.2  10710.7    10652
read      370.6   215.1   148.8   206.2   221.8   339.3   400.2   438.4   467.2   502.0   549.3   630.3   839.7  1468.3  8362.7  97315.3    98119
read      383.3   191.9   148.8   203.9   217.8   350.4   425.1   467.3   499.1   536.2   585.2   665.8   863.7  1611.9  8426.0  48250.7    48176
read      387.3   252.4   160.7   201.4   215.0   345.6   424.3   469.8   503.8   541.6   589.8   671.0   974.9  2447.4 10083.6  34820.0    34929
read      394.1   251.4   148.8   204.6   219.7   352.6   430.4   476.0   509.9   548.6   601.9   685.2   937.1  2674.5  7856.7  69370.0    69735
read      375.6   232.8   148.8   200.2   212.9   345.4   424.6   462.1   486.8   513.7   548.6   612.8   876.9  3176.9  8042.4  20820.7    20753
read      410.2   357.0   148.8   208.8   225.5   362.1   435.7   478.6   510.4   549.9   606.0   697.0  1062.7  4225.3 11178.7  84285.3    84642
