2024-05-06T21:22:29.365895 update_cores memcached [0]
2024-05-06T21:22:30.128795 update_cores blackscholes [1,2,3]
2024-05-06T21:22:30.832096 update_cores blackscholes [2,3]
2024-05-06T21:22:30.850374 update_cores memcached [0,1]
2024-05-06T21:22:31.378193 update_cores memcached [0]
2024-05-06T21:22:31.406625 update_cores blackscholes [1,2,3]
2024-05-06T21:22:31.704541 update_cores blackscholes [2,3]
2024-05-06T21:22:31.722306 update_cores memcached [0,1]
2024-05-06T21:22:31.996041 update_cores memcached [0]
2024-05-06T21:22:32.029121 update_cores blackscholes [1,2,3]
2024-05-06T21:22:32.333427 update_cores blackscholes [2,3]
2024-05-06T21:22:32.352314 update_cores memcached [0,1]
2024-05-06T21:22:32.626000 update_cores memcached [0]
2024-05-06T21:22:32.657121 update_cores blackscholes [1,2,3]
2024-05-06T21:22:32.951194 update_cores blackscholes [2,3]
2024-05-06T21:22:32.972333 update_cores memcached [0,1]
2024-05-06T21:22:33.246320 update_cores memcached [0]
2024-05-06T21:22:33.271253 update_cores blackscholes [1,2,3]
2024-05-06T21:22:33.555539 update_cores blackscholes [2,3]
2024-05-06T21:22:33.574736 update_cores memcached [0,1]
2024-05-06T21:22:33.845576 update_cores memcached [0]
2024-05-06T21:22:33.876185 update_cores blackscholes [1,2,3]
2024-05-06T21:22:34.165702 update_cores blackscholes [2,3]
2024-05-06T21:22:34.184701 update_cores memcached [0,1]
2024-05-06T21:22:34.455860 update_cores memcached [0]
2024-05-06T21:22:34.483919 update_cores blackscholes [1,2,3]
2024-05-06T21:22:34.771547 update_cores blackscholes [2,3]
2024-05-06T21:22:34.789171 update_cores memcached [0,1]
2024-05-06T21:22:35.318052 update_cores memcached [0]
2024-05-06T21:22:35.354696 update_cores blackscholes [1,2,3]
2024-05-06T21:22:35.646863 update_cores blackscholes [2,3]
2024-05-06T21:22:35.667836 update_cores memcached [0,1]
2024-05-06T21:22:35.953269 update_cores memcached [0]
2024-05-06T21:22:35.984192 update_cores blackscholes [1,2,3]
2024-05-06T21:22:36.271087 update_cores blackscholes [2,3]
2024-05-06T21:22:36.286974 update_cores memcached [0,1]
2024-05-06T21:22:36.568132 update_cores memcached [0]
2024-05-06T21:22:36.601468 update_cores blackscholes [1,2,3]
2024-05-06T21:22:36.902244 update_cores blackscholes [2,3]
2024-05-06T21:22:36.920949 update_cores memcached [0,1]
2024-05-06T21:22:37.195769 update_cores memcached [0]
2024-05-06T21:22:37.228019 update_cores blackscholes [1,2,3]
2024-05-06T21:22:37.517090 update_cores blackscholes [2,3]
2024-05-06T21:22:37.549652 update_cores memcached [0,1]
2024-05-06T21:22:37.821984 update_cores memcached [0]
2024-05-06T21:22:37.859937 update_cores blackscholes [1,2,3]
2024-05-06T21:22:38.160671 update_cores blackscholes [2,3]
2024-05-06T21:22:38.194250 update_cores memcached [0,1]
2024-05-06T21:22:38.468559 update_cores memcached [0]
2024-05-06T21:22:38.501669 update_cores blackscholes [1,2,3]
2024-05-06T21:22:38.798263 update_cores blackscholes [2,3]
2024-05-06T21:22:38.829119 update_cores memcached [0,1]
2024-05-06T21:22:39.111706 update_cores memcached [0]
2024-05-06T21:22:39.146985 update_cores blackscholes [1,2,3]
2024-05-06T21:22:39.440229 update_cores blackscholes [2,3]
2024-05-06T21:22:39.457674 update_cores memcached [0,1]
2024-05-06T21:22:39.734327 update_cores memcached [0]
2024-05-06T21:22:39.768336 update_cores blackscholes [1,2,3]
2024-05-06T21:22:40.059122 update_cores blackscholes [2,3]
2024-05-06T21:22:40.079093 update_cores memcached [0,1]
2024-05-06T21:22:40.628601 update_cores memcached [0]
2024-05-06T21:22:40.664311 update_cores blackscholes [1,2,3]
2024-05-06T21:22:40.961337 update_cores blackscholes [2,3]
2024-05-06T21:22:40.979906 update_cores memcached [0,1]
2024-05-06T21:22:41.254776 update_cores memcached [0]
2024-05-06T21:22:41.297909 update_cores blackscholes [1,2,3]
2024-05-06T21:22:41.588641 update_cores blackscholes [2,3]
2024-05-06T21:22:41.607596 update_cores memcached [0,1]
2024-05-06T21:22:41.883529 update_cores memcached [0]
2024-05-06T21:22:41.916857 update_cores blackscholes [1,2,3]
2024-05-06T21:22:42.208462 update_cores blackscholes [2,3]
2024-05-06T21:22:42.236602 update_cores memcached [0,1]
2024-05-06T21:22:42.514011 update_cores memcached [0]
2024-05-06T21:22:42.546925 update_cores blackscholes [1,2,3]
2024-05-06T21:22:42.849157 update_cores blackscholes [2,3]
2024-05-06T21:22:42.882092 update_cores memcached [0,1]
2024-05-06T21:22:43.158430 update_cores memcached [0]
2024-05-06T21:22:43.195591 update_cores blackscholes [1,2,3]
2024-05-06T21:22:43.499137 update_cores blackscholes [2,3]
2024-05-06T21:22:43.518337 update_cores memcached [0,1]
2024-05-06T21:22:43.791971 update_cores memcached [0]
2024-05-06T21:22:43.827796 update_cores blackscholes [1,2,3]
2024-05-06T21:22:44.133519 update_cores blackscholes [2,3]
2024-05-06T21:22:44.157829 update_cores memcached [0,1]
2024-05-06T21:22:44.438048 update_cores memcached [0]
2024-05-06T21:22:44.471288 update_cores blackscholes [1,2,3]
2024-05-06T21:22:44.759949 update_cores blackscholes [2,3]
2024-05-06T21:22:44.778353 update_cores memcached [0,1]
2024-05-06T21:22:45.051489 update_cores memcached [0]
2024-05-06T21:22:45.080758 update_cores blackscholes [1,2,3]
