2024-05-11T11:55:17.735581 start scheduler
2024-05-11T11:55:17.735630 start memcached [0,1] 2
2024-05-11T11:55:18.190739 start radix [2,3] 2
2024-05-11T11:55:18.195529 custom memcached AVG QPS: 8928.0
2024-05-11T11:55:18.300770 custom memcached AVG QPS: 4823.5
2024-05-11T11:55:18.314105 update_cores memcached [0]
2024-05-11T11:55:18.336555 update_cores radix [1,2,3]
2024-05-11T11:55:18.442562 custom memcached AVG QPS: 3561.0
2024-05-11T11:55:18.548044 custom memcached AVG QPS: 2869.75
2024-05-11T11:55:18.653523 custom memcached AVG QPS: 2450.4
2024-05-11T11:55:18.762963 custom memcached AVG QPS: 830.4
2024-05-11T11:55:18.868330 custom memcached AVG QPS: 845.2
2024-05-11T11:55:18.973686 custom memcached AVG QPS: 799.6
2024-05-11T11:55:19.079331 custom memcached AVG QPS: 793.2
2024-05-11T11:55:19.184830 custom memcached AVG QPS: 797.4
2024-05-11T11:55:19.290189 custom memcached AVG QPS: 781.2
2024-05-11T11:55:19.395678 custom memcached AVG QPS: 786.4
2024-05-11T11:55:19.501082 custom memcached AVG QPS: 777.0
2024-05-11T11:55:19.606071 custom memcached AVG QPS: 770.8
2024-05-11T11:55:19.711290 custom memcached AVG QPS: 757.8
2024-05-11T11:55:19.816491 custom memcached AVG QPS: 770.2
2024-05-11T11:55:19.921946 custom memcached AVG QPS: 754.4
2024-05-11T11:55:20.027426 custom memcached AVG QPS: 769.4
2024-05-11T11:55:20.132914 custom memcached AVG QPS: 771.2
2024-05-11T11:55:20.239000 custom memcached AVG QPS: 780.2
2024-05-11T11:55:20.346536 custom memcached AVG QPS: 771.6
2024-05-11T11:55:20.452010 custom memcached AVG QPS: 792.6
2024-05-11T11:55:20.557501 custom memcached AVG QPS: 781.2
2024-05-11T11:55:20.663162 custom memcached AVG QPS: 787.8
2024-05-11T11:55:20.768527 custom memcached AVG QPS: 790.6
2024-05-11T11:55:20.874033 custom memcached AVG QPS: 797.2
2024-05-11T11:55:20.979991 custom memcached AVG QPS: 788.6
2024-05-11T11:55:21.085370 custom memcached AVG QPS: 786.6
2024-05-11T11:55:21.191039 custom memcached AVG QPS: 785.2
2024-05-11T11:55:21.296455 custom memcached AVG QPS: 785.6
2024-05-11T11:55:21.401910 custom memcached AVG QPS: 777.0
2024-05-11T11:55:21.507134 custom memcached AVG QPS: 776.0
2024-05-11T11:55:21.612542 custom memcached AVG QPS: 769.6
2024-05-11T11:55:21.718049 custom memcached AVG QPS: 777.8
2024-05-11T11:55:21.823602 custom memcached AVG QPS: 781.2
2024-05-11T11:55:21.928986 custom memcached AVG QPS: 780.6
2024-05-11T11:55:22.034573 custom memcached AVG QPS: 781.8
2024-05-11T11:55:22.140323 custom memcached AVG QPS: 802.2
2024-05-11T11:55:22.246126 custom memcached AVG QPS: 800.0
2024-05-11T11:55:22.352058 custom memcached AVG QPS: 807.6
2024-05-11T11:55:22.457657 custom memcached AVG QPS: 817.4
2024-05-11T11:55:22.563242 custom memcached AVG QPS: 813.2
2024-05-11T11:55:22.668672 custom memcached AVG QPS: 807.8
2024-05-11T11:55:22.774341 custom memcached AVG QPS: 798.6
2024-05-11T11:55:22.879992 custom memcached AVG QPS: 788.8
2024-05-11T11:55:22.985354 custom memcached AVG QPS: 779.2
2024-05-11T11:55:23.091284 custom memcached AVG QPS: 776.8
2024-05-11T11:55:23.196891 custom memcached AVG QPS: 762.8
2024-05-11T11:55:23.302745 custom memcached AVG QPS: 768.0
2024-05-11T11:55:23.408383 custom memcached AVG QPS: 767.6
2024-05-11T11:55:23.514144 custom memcached AVG QPS: 770.6
2024-05-11T11:55:23.620149 custom memcached AVG QPS: 773.6
2024-05-11T11:55:23.725740 custom memcached AVG QPS: 779.8
2024-05-11T11:55:23.831422 custom memcached AVG QPS: 783.0
2024-05-11T11:55:23.937620 custom memcached AVG QPS: 783.6
2024-05-11T11:55:24.043214 custom memcached AVG QPS: 801.8
2024-05-11T11:55:24.148743 custom memcached AVG QPS: 796.4
2024-05-11T11:55:24.254530 custom memcached AVG QPS: 796.8
2024-05-11T11:55:24.360058 custom memcached AVG QPS: 797.2
2024-05-11T11:55:24.465409 custom memcached AVG QPS: 791.8
2024-05-11T11:55:24.571324 custom memcached AVG QPS: 776.2
2024-05-11T11:55:24.676762 custom memcached AVG QPS: 773.4
2024-05-11T11:55:24.782590 custom memcached AVG QPS: 774.0
2024-05-11T11:55:24.892061 custom memcached AVG QPS: 780.6
2024-05-11T11:55:24.997518 custom memcached AVG QPS: 777.2
2024-05-11T11:55:25.102758 custom memcached AVG QPS: 768.4
2024-05-11T11:55:25.209453 custom memcached AVG QPS: 783.8
2024-05-11T11:55:25.315297 custom memcached AVG QPS: 785.6
2024-05-11T11:55:25.420848 custom memcached AVG QPS: 769.4
2024-05-11T11:55:25.526528 custom memcached AVG QPS: 775.6
2024-05-11T11:55:25.632000 custom memcached AVG QPS: 793.4
2024-05-11T11:55:25.737616 custom memcached AVG QPS: 773.6
2024-05-11T11:55:25.843411 custom memcached AVG QPS: 775.0
2024-05-11T11:55:25.949300 custom memcached AVG QPS: 778.6
2024-05-11T11:55:26.055147 custom memcached AVG QPS: 783.0
2024-05-11T11:55:26.160543 custom memcached AVG QPS: 776.0
2024-05-11T11:55:26.266207 custom memcached AVG QPS: 799.8
2024-05-11T11:55:26.371819 custom memcached AVG QPS: 797.6
2024-05-11T11:55:26.477237 custom memcached AVG QPS: 802.8
