#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      375.2   497.9   173.5   231.2   257.1   342.3   372.4   389.9   401.2   417.9   436.7   470.4   727.7  8641.0 20139.9   4937.6     5000  1715174963450  1715174968917
read      400.8   315.4   160.7   217.3   233.3   382.8   438.7   466.3   487.3   510.5   552.3   601.2   732.8  4299.2  9491.1  10041.0    10000  1715174970421  1715174975837
read      420.5   304.4   160.7   218.2   233.4   387.3   460.1   501.9   543.8   582.5   626.0   683.7   837.9  4413.5 10014.2  14917.4    15000  1715174977341  1715174982666
read      450.9   287.9   160.7   221.6   238.9   407.7   496.7   568.6   614.7   662.9   717.0   790.3   950.0  2271.0 10250.5  20033.2    20000  1715174984170  1715174989515
read      453.8   301.7   148.8   217.2   232.4   395.4   493.3   570.1   626.7   686.7   752.8   848.3  1055.7  3385.6 11513.1  25006.8    25000  1715174991018  1715174996344
read      473.1   304.8   148.8   212.6   228.3   398.5   519.9   608.0   675.4   749.9   834.5   957.6  1180.9  1833.0 10666.8  29963.8    30000  1715174997848  1715175003164
read      479.7   368.8   148.8   215.1   230.4   373.2   497.1   602.7   689.6   792.5   904.8  1053.9  1306.0  1783.2 14166.4  34831.8    35000  1715175004667  1715175009972
read      465.7   327.5   160.7   214.0   228.6   349.8   466.9   571.3   669.1   788.4   909.9  1061.1  1306.1  1661.8 10726.3  39921.6    40000  1715175011476  1715175016789
read      446.2   300.1   148.8   208.5   223.7   345.2   449.1   531.2   614.6   734.2   866.4  1014.7  1245.6  1631.1  8036.5  45065.6    45000  1715175018293  1715175023595
read      469.0   339.1   160.7   212.2   227.8   347.7   449.1   539.2   630.9   759.7   926.7  1154.6  1522.4  2314.0  8972.6  49925.6    50000  1715175025100  1715175030407
read      459.7   350.0   160.7   210.9   225.8   329.0   404.1   479.0   571.6   740.8   990.2  1246.2  1601.6  2132.5  6841.1  54888.6    55000  1715175031912  1715175037241
read      479.1   363.4   160.7   216.1   232.8   349.8   438.8   517.9   602.1   743.3   980.7  1273.8  1679.6  2144.3  8994.4  59936.0    60000  1715175038748  1715175044068
read      454.4   350.2   148.8   212.8   228.2   337.0   420.4   490.4   568.1   692.5   899.6  1156.7  1603.0  2186.5 10553.0  65028.2    65000  1715175045572  1715175050879
read      471.8   359.8   160.7   217.2   234.2   348.2   433.9   503.6   578.9   711.5   952.2  1229.3  1704.8  2281.4  9251.7  70125.5    70000  1715175052384  1715175057694
read      545.2   487.0   160.7   228.9   249.1   367.7   461.1   570.6   699.8   922.8  1177.9  1540.4  2097.3  3155.4 12650.2  74996.7    75000  1715175059198  1715175064515
read      850.7  1151.1   160.7   285.4   325.7   445.6   608.1  1369.4  1529.1  1634.3  1740.1  1918.1  3008.9 12471.0 32224.1  76416.1    80000  1715175066018  1715175071331
read      811.9   946.7   160.7   271.8   302.5   429.8   602.1  1384.4  1513.1  1612.8  1732.3  1917.8  2907.0  9261.4 31310.1  79245.8    85000  1715175072835  1715175078161
read      841.1  1189.6   148.8   292.0   325.5   431.8   577.4  1398.9  1531.1  1629.8  1729.2  1876.6  2883.1 14525.2 32317.1  79082.6    90000  1715175079665  1715175085007
read      826.8  1211.0   160.7   303.7   330.7   419.4   534.0  1371.8  1512.2  1609.0  1709.2  1854.9  2770.8 15549.5 35697.3  80619.0    95000  1715175086511  1715175091826
read      806.7  1048.4   160.7   304.6   328.1   413.9   560.9  1400.0  1515.6  1607.1  1700.2  1839.7  2718.9 12683.4 32273.0  81963.0   100000  1715175093330  1715175098640
read      836.2  1212.3   148.8   296.2   328.7   430.0   570.7  1350.0  1512.5  1611.6  1713.1  1866.3  2856.9 14130.9 32357.4  79692.2   105000  1715175100145  1715175105469
read      821.2  1239.9   160.7   296.4   322.9   416.4   526.1  1342.1  1494.7  1598.4  1704.8  1858.0  2874.3 15788.4 36425.1  81475.4   110000  1715175106974  1715175112312
read      843.7  1232.5   148.8   309.9   340.8   429.4   561.2  1388.2  1527.1  1622.2  1718.8  1864.5  2842.1 17337.1 32293.0  79054.9   115000  1715175113817  1715175119119
read      867.2  1295.8   160.7   301.1   340.7   447.0   599.0  1411.1  1547.3  1643.7  1737.9  1884.8  2869.5 17278.4 36673.7  76957.7   120000  1715175120623  1715175125938
read      881.0  1278.7   160.7   294.4   341.6   457.8   644.4  1434.4  1555.9  1650.8  1754.0  1917.3  2883.2 17334.7 36506.0  75736.0   125000  1715175127442  1715175132756
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.81%,56.78%,100.00%
