Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715415116262
Timestamp end: 1715416016712

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      396.6   481.5   160.7   226.1   245.6   371.3   408.7   428.5   442.4   459.8   481.7   520.8   985.4  7002.5 21416.1   7438.7     7434
read      375.4   273.5   148.8   206.6   220.5   338.6   405.8   446.4   476.8   514.8   565.0   639.8   816.4  2236.8  8403.7  67312.2    67201
read      420.9   329.9   148.8   213.8   230.4   371.2   446.6   493.6   530.5   577.5   642.1   765.1  1117.5  3462.9 11664.0  85991.8    85927
read      371.1   183.0   148.8   207.7   221.9   340.2   408.9   449.2   478.9   515.2   561.4   629.8   765.2  1422.7  7329.8  63959.3    63953
read      386.2   224.7   160.7   205.7   219.4   336.8   437.2   489.2   522.0   556.4   596.2   658.0   863.0  1936.9  8161.8  31651.6    31595
read      360.0   185.7   148.8   206.4   220.1   329.6   390.6   425.9   452.7   485.2   529.1   597.5   778.3  1853.1  7012.1  87961.6    87879
read      387.1   427.6   160.7   222.2   239.6   368.2   407.5   427.9   442.1   460.1   483.3   522.6   681.2  6140.0 14877.1   7336.7     7287
read      379.7   250.4   148.8   207.3   221.3   341.5   412.0   454.5   487.1   527.1   578.4   652.8   837.5  1873.8  8437.4  62259.4    62295
read      392.2   471.3   173.5   229.0   249.6   364.0   398.5   417.5   430.5   447.0   467.2   502.9   807.9  7287.7 16891.6   6522.6     6561
read      390.4   209.8   160.7   210.0   224.2   359.4   460.4   500.1   525.2   550.9   584.5   632.5   734.0  1902.6  8014.0  22490.4    22532
read      372.6   183.8   148.8   208.0   222.0   340.6   410.5   452.2   483.1   520.5   567.6   636.0   773.0  1376.9  7227.5  60530.9    60653
read      373.8   216.9   148.8   207.7   221.9   340.6   409.6   452.4   484.9   523.7   571.2   637.7   760.9  1427.6  8548.3  58831.1    59076
