#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      357.0   301.5   160.7   225.3   254.9   343.1   368.3   382.1   392.0   401.9   419.0   441.5   546.2  5573.1 11543.1   4939.2     5000  1715110058493  1715110063905
read      376.7   363.3   160.7   210.4   226.6   373.4   415.1   436.3   451.3   466.5   488.0   517.0   588.8  3271.2 17582.4   9969.8    10000  1715110065408  1715110070765
read      373.7   217.2   160.7   205.6   220.1   373.7   432.3   459.2   476.5   495.9   518.8   549.8   629.4  1276.2  9425.4  14969.2    15000  1715110072268  1715110077588
read      377.3   252.5   148.8   203.2   217.4   360.4   438.5   472.7   494.5   517.7   544.3   586.3   678.9  2221.7  9880.3  19925.8    20000  1715110079091  1715110084429
read      377.3   291.0   148.8   200.6   214.6   350.6   438.7   480.2   505.9   532.7   563.4   607.2   692.6  1514.5 11234.2  24909.6    25000  1715110085933  1715110091245
read      377.3   277.4   148.8   198.1   212.5   344.5   432.3   477.3   507.3   537.9   573.8   624.0   731.0  1378.1 10249.0  30052.9    30000  1715110092749  1715110098058
read      385.3   251.7   148.8   197.6   212.3   352.8   439.7   487.1   518.4   551.2   590.3   642.8   770.7  1730.3 11405.7  34997.2    35000  1715110099561  1715110104855
read      372.7   208.3   148.8   196.0   209.7   336.7   417.4   467.7   503.0   540.8   583.6   638.6   748.1  1367.0  8065.3  39960.0    40000  1715110106359  1715110111657
read      379.4   194.0   148.8   195.7   209.5   345.6   431.7   481.0   515.5   552.7   598.5   662.2   795.4  1182.3  6229.9  44966.4    45000  1715110113160  1715110118463
read      380.1   211.9   148.8   196.1   210.2   343.4   429.5   478.9   514.0   553.8   601.0   663.6   806.7  1268.7  8854.0  50006.2    50000  1715110119966  1715110125279
read      378.9   208.1   148.8   195.7   209.5   340.8   427.7   477.0   512.8   552.0   601.3   670.1   835.1  1218.0  7725.2  54985.6    55000  1715110126782  1715110132072
read      377.5   428.9   148.8   196.4   210.0   333.7   419.5   470.3   507.8   549.7   601.5   677.3   868.0  1421.6  7633.1  60146.8    60000  1715110133575  1715110138875
read      366.7   208.4   148.8   196.3   209.2   323.9   399.7   448.0   485.4   531.4   586.7   663.1   844.5  1283.4  8025.7  65035.8    65000  1715110140378  1715110145676
read      376.0   212.1   148.8   195.2   208.9   327.0   411.8   464.2   502.5   547.2   606.1   691.7   929.0  1390.3  7853.1  70129.5    70000  1715110147180  1715110152479
read      375.0   251.2   148.8   194.7   208.0   315.3   396.7   451.0   493.3   544.3   611.4   725.7  1055.0  1702.9  9937.6  74983.2    75000  1715110153982  1715110159275
read      371.1   219.2   148.8   196.5   210.0   319.8   398.1   448.6   487.7   535.6   596.8   694.9   970.6  1383.3  7719.2  79929.6    80000  1715110160778  1715110166072
read      363.5   217.8   148.8   195.1   208.2   311.4   384.2   431.4   469.5   519.5   585.9   689.8   980.4  1487.7  7158.2  84898.2    85000  1715110167575  1715110172867
read      365.7   202.4   148.8   197.9   211.4   316.1   387.9   434.1   471.9   520.5   584.3   685.2   974.7  1455.1  7292.4  89747.6    90000  1715110174370  1715110179668
read      370.0   216.9   148.8   201.3   215.0   319.5   387.4   432.8   470.6   520.9   587.5   698.6  1005.0  1552.7  7011.8  95030.8    95000  1715110181171  1715110186464
read      370.0   357.7   137.8   201.4   215.3   317.9   383.8   427.4   464.4   514.2   583.3   705.0  1059.7  1674.5  5137.6  99790.5   100000  1715110187967  1715110193249
read      369.0   217.9   148.8   202.3   216.1   317.8   379.5   421.3   457.5   507.4   581.0   709.1  1061.8  1715.5  7261.0 104764.8   105000  1715110194751  1715110200053
read      418.0   290.4   148.8   209.0   225.8   342.2   416.8   470.7   519.7   583.6   682.8   893.4  1440.5  2529.1  7853.8 110092.8   110000  1715110201556  1715110206855
read      402.0   465.7   148.8   209.2   226.0   337.6   402.6   450.7   492.8   549.3   636.3   805.7  1318.9  2281.7  6719.9 114991.4   115000  1715110208357  1715110213650
read      575.1   783.1   148.8   223.1   238.1   307.5   368.1   579.2   744.6   980.5  1273.9  1753.2  3423.7  6579.0 30030.8 113962.4   120000  1715110215154  1715110220450
read      559.2   750.6   148.8   215.4   228.4   310.0   420.1   575.2   722.7   933.0  1227.1  1653.9  3066.3  6903.6 30461.9 117059.0   125000  1715110221953  1715110227241
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 86.12%,44.50%,100.00%
