Random waveform, random seed
Total number of intervals = 100 (31828, 20184, 32194, 84076, 26208, 92312, 26582, 14678, 23524, 19064, 9059, 25861, 55862, 89434, 6644, 90635, 62981, 44707, 56712, 32753, 83723, 79252, 78747, 42311, 66642, 9848, 75741, 70369, 36205, 49645, 17212, 56998, 90596, 64078, 36207, 84720, 20260, 73136, 81349, 85823, 32568, 12106, 28363, 20822, 11804, 80456, 73279, 24293, 16029, 15664, 63793, 92796, 87201, 11609, 30172, 21922, 76063, 73337, 37872, 33529, 12237, 46604, 11385, 67414, 62944, 87163, 28210, 17634, 15518, 85536, 43293, 35781, 42637, 37261, 27025, 44242, 28534, 41394, 47844, 45405, 9084, 54175, 56026, 93386, 32190, 31929, 12936, 9842, 73163, 56037, 93389, 77960, 26237, 16852, 73260, 75069, 79947, 81836, 96629, 99349)
Average QPS expected = 48691
Timestamp start: 1715334506085
Timestamp end: 1715335506631

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      379.9   330.4   148.8   202.2   215.6   332.4   420.0   469.2   502.2   536.2   574.1   626.8   802.2  3261.6 11755.7  31740.6    31828
read      385.7   350.6   160.7   203.7   217.7   350.4   435.3   472.8   497.7   524.3   553.9   602.5   861.1  4281.9 13574.4  20175.9    20184
read      393.5   280.0   148.8   203.8   218.0   344.9   432.8   484.1   519.7   558.1   603.5   673.4  1005.1  2826.3  8135.5  32158.0    32194
read      359.4   167.2   148.8   203.7   217.7   327.2   391.2   429.8   459.7   496.7   544.3   617.7   764.1  1518.5  4071.3  84043.4    84076
read      429.4   307.2   148.8   204.2   218.8   358.5   465.2   520.9   560.8   617.8   730.3   894.0  1173.0  2954.6 12285.0  26275.0    26208
read      368.1   244.6   148.8   204.2   218.7   328.1   389.9   427.1   456.4   493.2   542.2   624.9   942.9  2468.6  7774.3  92180.6    92312
read      488.5   520.7   148.8   205.0   220.5   389.3   528.5   624.5   705.8   789.2   876.6   998.2  1265.1  4370.3 21590.2  26665.1    26582
read      405.9   487.6   148.8   208.2   224.0   373.8   438.1   469.5   493.2   521.2   560.9   640.5   962.0  5400.9 24711.2  14737.4    14678
read      380.7   306.9   148.8   205.0   219.3   341.8   431.0   472.2   498.4   526.0   556.6   602.0   739.5  3179.8 11000.3  23533.8    23524
read      378.7   247.5   148.8   207.4   221.9   359.2   436.5   469.9   491.8   514.7   541.6   581.3   677.6  2531.6  9637.8  19050.1    19064
read      367.3   370.4   160.7   219.7   235.9   352.0   390.6   408.9   422.1   435.3   455.7   484.7   588.7  4943.9 15811.3   9046.2     9059
read      451.7   426.4   148.8   206.3   221.5   367.0   480.6   542.0   590.6   673.3   805.3   964.5  1245.9  4000.9 12623.5  25833.1    25861
read      438.8   395.7   148.8   207.6   223.0   348.1   428.3   484.1   531.7   591.8   683.3  1007.1  1752.4  3841.1 10789.4  55845.2    55862
read      367.0   221.8   148.8   206.6   221.4   333.7   396.9   434.8   464.4   500.4   547.6   623.3   794.6  1773.4  8679.3  89410.0    89434
read      414.1   579.4   160.7   219.6   240.8   360.8   408.3   435.2   456.0   479.6   509.9   566.8  1661.1  7816.2 23340.2   6639.3     6644
read      374.4   233.2   148.8   207.5   222.7   338.1   402.4   441.6   471.0   507.9   557.8   636.2   841.3  2322.8  8331.3  90441.2    90635
read      441.2   380.9   148.8   208.8   224.4   352.7   429.2   481.5   525.5   582.5   671.8   980.9  1843.4  3880.2  9874.6  62972.6    62981
read      456.3   462.6   148.8   206.5   221.8   350.6   439.2   506.3   561.7   632.9   775.9  1131.9  1643.4  4164.8 17451.7  44553.7    44707
read      442.5   457.9   148.8   207.2   222.5   348.2   425.9   479.3   524.4   583.3   672.2   991.3  1843.7  4676.7 13583.8  56767.5    56712
