#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      354.2   424.4   160.7   227.3   252.4   330.1   354.4   367.8   377.0   389.7   402.4   429.1   550.0  7573.9 15675.1   4937.6     5000  1715111727970  1715111733411
read      366.6   331.7   148.8   212.1   227.9   362.0   400.5   419.7   431.8   447.2   465.1   494.7   549.4  4377.8 12666.6  10083.9    10000  1715111734914  1715111740294
read      372.6   256.8   148.8   204.7   219.4   373.8   430.1   455.9   471.9   490.7   509.5   543.4   619.7  1807.5 10154.7  15035.4    15000  1715111741797  1715111747117
read      368.2   248.8   148.8   199.5   213.7   357.3   429.5   462.4   483.5   505.2   531.7   568.4   645.2  1226.4 10237.5  20040.8    20000  1715111748619  1715111753944
read      370.9   187.9   148.8   198.4   212.9   346.4   430.2   471.7   498.4   526.2   556.6   600.3   687.6  1008.6  7835.8  25031.4    25000  1715111755447  1715111760773
read      367.9   215.1   148.8   199.0   212.7   331.6   414.1   461.6   494.0   527.6   565.4   618.6   724.5  1630.6  7786.7  30183.4    30000  1715111762276  1715111767589
read      381.1   205.2   148.8   196.8   211.5   352.6   434.9   482.6   514.5   547.4   586.8   641.5   770.7  1018.5  5863.1  35077.5    35000  1715111769092  1715111774395
read      387.0   211.8   148.8   197.0   211.5   356.2   440.6   488.4   521.2   556.8   599.4   667.1   824.9  1260.9  7965.7  39809.5    40000  1715111775898  1715111781201
read      379.0   208.6   148.8   196.7   210.7   346.3   425.7   472.8   508.9   546.8   591.7   657.0   798.1  1326.5  8080.4  44923.2    45000  1715111782704  1715111788001
read      372.6   210.0   148.8   195.7   209.1   334.9   413.1   460.5   496.7   538.6   590.0   662.9   830.5  1289.0  7527.2  50194.6    50000  1715111789504  1715111794797
read      375.6   209.5   148.8   193.8   207.7   338.1   420.1   468.5   505.3   546.7   595.5   668.5   841.9  1293.4  7572.2  54927.8    55000  1715111796301  1715111801635
read      369.2   250.1   148.8   194.5   207.5   325.0   402.9   453.0   490.9   535.8   589.8   666.4   862.7  1373.2  9821.6  59680.2    60000  1715111803138  1715111808437
read      370.5   214.0   148.8   193.9   207.5   326.6   408.5   456.7   493.9   537.3   591.0   673.7   869.8  1384.5  7680.6  65210.6    65000  1715111809940  1715111815239
read      362.7   213.8   148.8   194.6   207.4   316.1   391.4   438.0   475.7   524.6   585.5   674.6   899.1  1350.7  7216.0  70031.2    70000  1715111816741  1715111822042
read      369.3   229.0   148.8   195.4   208.5   317.7   394.8   443.8   483.2   531.4   593.4   693.3   985.7  1576.4  4538.6  74787.6    75000  1715111823545  1715111828841
read      362.7   203.7   148.8   195.4   208.3   309.6   382.7   430.2   469.1   520.0   586.5   690.9   991.1  1487.2  4932.7  80133.6    80000  1715111830345  1715111835641
read      367.2   209.5   137.8   197.0   210.4   314.8   388.2   435.7   473.8   523.5   587.7   692.9  1011.6  1624.2  5413.2  85074.8    85000  1715111837145  1715111842432
read      373.9   204.0   148.8   201.9   215.6   322.5   394.6   440.2   478.3   527.3   592.8   707.7  1035.8  1562.1  5542.8  89907.8    90000  1715111843935  1715111849235
read      379.9   232.0   148.8   201.7   215.6   318.8   390.0   436.8   477.9   532.2   606.3   744.8  1194.7  2031.0  7085.4  94922.6    95000  1715111850738  1715111856044
read      368.8   212.3   148.8   202.8   216.1   317.9   382.9   425.1   461.2   510.6   581.4   697.9  1063.9  1682.9  4414.3  99903.8   100000  1715111857547  1715111862851
read      385.2   248.4   148.8   205.5   220.6   324.2   389.4   434.1   474.1   530.3   609.9   764.6  1239.4  2068.0  6087.7 104923.0   105000  1715111864354  1715111869651
read      376.3   203.4   148.8   206.2   221.6   326.5   387.1   427.6   464.0   515.9   590.2   720.3  1087.3  1600.5  4691.9 109950.8   110000  1715111871154  1715111876453
read      456.0   405.2   148.8   212.5   228.2   338.9   428.1   496.1   559.5   651.9   806.1  1091.2  1914.1  3829.2  8673.2 114877.4   115000  1715111877956  1715111883258
read      556.2   730.8   148.8   215.8   229.8   329.5   467.1   582.4   701.0   866.5  1100.3  1572.2  3116.5  6867.0 30540.2 116467.8   120000  1715111884761  1715111890059
read      568.6   777.8   148.8   222.0   236.0   299.2   348.0   531.1   712.7   978.8  1330.5  1779.3  3445.9  6645.7 28392.9 115335.6   125000  1715111891562  1715111896862
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.49%,55.50%,100.00%
