Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715346776023
Timestamp end: 1715347676557

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      363.8   307.1   173.5   227.3   244.2   346.5   375.6   391.6   401.6   416.0   432.3   463.4   684.9  4896.2 10487.2   7429.0     7434
read      383.8   256.5   160.7   216.7   228.8   345.8   413.0   453.4   485.3   526.1   578.6   654.5   845.9  2512.3  7691.4  67140.2    67201
read      399.5   210.2   160.7   221.8   236.6   364.1   430.9   471.0   503.5   543.4   596.8   686.1   925.5  1966.3  6545.6  86038.2    85927
read      386.9   227.0   160.7   218.7   230.8   349.0   417.6   458.5   491.5   532.7   584.6   658.9   846.4  2832.8  6890.8  63920.0    63953
read      405.4   319.2   160.7   215.4   228.0   345.8   439.5   495.9   532.4   570.4   615.3   692.6  1106.4  3400.2 10224.8  31520.5    31595
read      370.2   218.1   160.7   219.6   232.0   339.1   398.4   432.9   459.9   493.3   538.1   608.0   754.8  2073.7  7696.2  87755.2    87879
read      400.4   701.1   173.5   222.2   237.5   352.7   388.3   407.2   423.9   443.0   471.0   527.5  1411.4  8099.5 33394.1   7331.4     7287
read      385.4   229.8   160.7   215.5   227.7   342.0   405.8   446.9   480.6   526.1   583.9   667.0  1121.9  2316.2  7338.5  62314.4    62295
read      377.4   465.1   173.5   232.1   251.9   351.0   378.4   393.6   403.2   418.1   433.9   466.3   756.2  7086.7 17393.9   6546.9     6561
read      397.1   388.6   173.5   219.4   231.2   366.1   451.1   490.5   515.7   542.3   574.1   619.3   733.8  3678.5 19764.3  22445.4    22532
read      379.3   185.5   160.7   219.5   231.7   348.3   416.3   455.5   486.5   526.2   576.0   640.3   759.2  1239.5  7199.6  60618.0    60653
read      381.3   199.7   160.7   219.2   231.3   349.1   416.3   455.9   487.5   527.8   578.5   645.5   776.2  1440.9  7814.4  59005.0    59076
read      386.4   200.7   160.7   219.7   231.8   351.3   420.0   460.9   493.9   535.0   586.6   661.8   821.3  1856.8  7464.6  60182.5    60154
read      433.9   303.8   173.5   215.5   227.8   379.1   472.9   522.9   559.0   608.7   699.8   855.8  1124.1  3624.3 10030.8  23047.7    22964
read      439.4   629.5   173.5   223.6   239.1   384.1   437.6   469.3   494.3   522.9   558.7   622.4  1511.2  7943.0 29927.0   8168.6     8172
