#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      330.8   195.4   160.7   222.3   236.8   310.2   347.0   370.2   388.0   408.8   438.0   486.8   580.8  1892.5  9267.4  29964.7    30000  1714918026174  1714918036344
read      319.8   179.3   160.7   216.9   229.2   298.3   334.9   357.0   373.2   395.9   426.7   473.9   571.6  1809.8  7924.6  30034.2    30005  1714918037851  1714918047988
read      336.0   229.8   160.7   218.5   231.7   313.2   354.6   378.5   396.9   419.8   450.4   498.6   604.3  2467.5  8573.0  30006.3    30010  1714918049494  1714918059605
read      333.5   223.5   160.7   219.1   232.6   311.3   351.3   374.3   393.1   415.3   445.8   495.0   593.3  2106.0  9322.9  29940.6    30015  1714918061113  1714918071226
read      340.1   253.3   160.7   222.6   237.2   311.2   349.1   372.8   392.3   416.3   449.9   502.9   658.6  3760.7  9967.9  30003.5    30020  1714918072734  1714918082851
read      352.3   406.3   160.7   221.1   235.4   312.4   353.8   379.4   399.5   426.0   462.2   521.9   719.1  6833.0 15969.8  29994.3    30025  1714918084360  1714918094475
read      363.3   566.0   160.7   220.6   233.2   309.5   352.5   379.8   400.8   428.2   464.6   521.9   724.4  9553.3 21423.2  29909.1    30030  1714918095982  1714918106104
read      374.0   591.4   160.7   221.5   235.7   320.4   368.0   396.5   418.8   446.9   487.0   549.3   776.1 11076.5 24379.1  30077.9    30035  1714918107614  1714918117730
read      337.7   322.8   160.7   219.9   232.1   305.1   344.9   369.9   389.5   413.5   447.5   501.5   636.7  4549.4 12780.7  30095.5    30040  1714918119238  1714918129351
read      350.6   310.6   160.7   220.9   234.5   317.1   362.4   389.3   409.2   434.8   469.8   527.6   682.6  4673.8 11687.7  30063.2    30045  1714918130858  1714918140972
read      338.4   288.9   160.7   216.5   229.5   307.7   349.1   374.4   394.9   419.9   453.9   506.5   637.4  4186.0 12401.9  30058.1    30050  1714918142479  1714918152599
read      335.6   271.9   160.7   220.2   232.9   306.3   344.5   368.7   387.7   410.7   443.9   498.4   633.6  4062.3 10761.0  30135.6    30055  1714918154107  1714918164219
read      338.4   288.1   148.8   219.1   231.1   308.7   350.6   375.4   395.3   419.6   452.3   504.0   631.9  4539.1 11293.5  30010.6    30060  1714918165726  1714918175842
read      339.0   341.4   160.7   218.8   231.3   309.4   350.7   375.2   395.2   419.7   452.9   504.2   623.1  3573.1 19238.6  30045.9    30065  1714918177351  1714918187467
read      355.7   504.0   160.7   219.2   231.2   305.7   346.5   372.9   394.2   420.6   456.9   515.6   800.2  8734.6 22066.6  30042.0    30070  1714918188975  1714918199088
read      328.6   192.2   160.7   219.4   232.3   307.4   345.8   370.0   388.3   409.7   439.2   487.8   587.7  1510.7  8055.3  30004.8    30075  1714918200594  1714918210713
read      336.2   200.7   160.7   220.2   235.6   315.8   356.0   379.1   397.1   419.5   448.9   495.4   594.2  1870.9  9132.0  30056.3    30080  1714918212221  1714918222340
read      335.5   186.4   148.8   219.2   233.1   315.6   357.7   381.9   399.5   422.1   451.7   498.4   592.7  1802.2  8130.4  30217.1    30085  1714918223848  1714918233957
read      334.6   183.4   160.7   220.6   235.4   315.5   356.0   379.2   396.7   418.5   447.4   493.9   587.2  1458.2  8038.1  30026.9    30090  1714918235465  1714918245578
read      336.0   170.1   160.7   220.5   235.5   317.6   359.0   382.8   400.2   422.7   451.7   497.2   588.8  1326.9  7799.0  30155.4    30095  1714918247084  1714918257200
read      330.3   203.7   160.7   219.0   232.8   309.2   347.5   371.2   389.4   410.6   439.7   488.5   584.0  2058.7  8616.1  30083.6    30100  1714918258708  1714918268825
read      333.2   241.1   160.7   220.1   233.4   312.0   352.5   376.0   394.4   416.5   446.2   493.8   585.7  1405.2 10073.5  30126.8    30105  1714918270334  1714918280448
read      322.3   184.2   160.7   220.4   233.4   301.8   336.5   357.9   373.4   395.5   425.9   474.5   573.3  1804.7  8270.9  30167.8    30110  1714918281956  1714918292067
read      331.4   210.1   148.8   216.5   230.7   311.3   351.3   374.4   393.1   415.0   444.3   490.6   583.9  1725.2  9442.4  30072.7    30115  1714918293575  1714918303688
read      334.9   187.4   160.7   218.9   232.8   313.4   355.1   379.9   398.5   422.2   453.3   502.4   603.1  1694.2  8075.9  30149.4    30120  1714918305195  1714918315308
read      335.9   228.8   160.7   223.4   237.4   313.3   352.8   375.6   393.7   415.2   444.2   492.3   590.0  2402.7 10363.1  30060.5    30125  1714918316814  1714918326926
read      322.1   215.3   160.7   217.5   230.1   299.9   337.2   360.1   376.8   399.2   429.8   476.3   568.7  1673.2 10657.5  30054.7    30130  1714918328436  1714918338553
read      335.4   192.6   160.7   219.6   234.6   315.3   356.2   379.6   397.2   419.4   449.0   495.8   593.6  1633.9  8664.3  30096.8    30135  1714918340060  1714918350174
Connection.cc(491): Unexpected EOF from server.
Connection.cc(491): Unexpected EOF from server.
Connection.cc(491): Unexpected EOF from server.
