#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      424.9   535.5   187.4   258.0   281.4   394.1   432.4   453.3   466.9   484.6   504.9   540.9   815.1  6017.1 28749.0   4898.8     5000  1715150610611  1715150616012
read      454.3   271.5   173.5   241.6   261.7   446.0   512.1   543.1   565.9   590.8   624.6   673.5   790.9  3888.9  8015.0  10059.4    10000  1715150617515  1715150622868
read      469.9   303.4   160.7   232.9   252.9   454.7   551.2   597.9   628.1   660.8   696.4   746.1   865.0  3776.4 10377.3  15090.4    15000  1715150624372  1715150629677
read      462.3   281.1   160.7   227.5   246.9   425.2   536.0   594.0   633.7   673.7   717.8   778.5   907.1  3062.4 11576.7  20043.6    20000  1715150631181  1715150636494
read      481.5   277.9   148.8   227.3   248.0   441.2   549.7   616.8   661.8   709.6   762.8   843.6   998.7  2054.4 10769.5  24962.4    25000  1715150637998  1715150643309
read      501.0   280.2   160.7   231.5   254.9   466.0   566.1   629.8   676.1   726.8   789.7   872.4  1032.2  2878.5  9754.3  29939.8    30000  1715150644813  1715150650148
read      498.1   270.3   160.7   230.9   254.4   467.0   559.1   616.0   661.2   716.7   786.0   881.2  1056.8  1536.5 10110.3  34751.4    35000  1715150651652  1715150656949
read      488.6   258.9   160.7   228.0   251.4   452.9   548.5   608.1   652.2   704.8   769.7   864.7  1067.2  1750.6 11262.4  39864.2    40000  1715150658453  1715150663749
read      506.0   286.7   160.7   224.0   246.7   476.0   576.5   634.6   680.0   735.7   807.0   908.0  1083.1  1569.1  9964.7  44832.8    45000  1715150665252  1715150670542
read      502.0   276.8   160.7   225.3   247.9   462.0   567.9   629.9   677.6   733.9   805.2   912.7  1126.8  1612.7 10329.8  49940.1    50000  1715150672046  1715150677345
read      487.1   256.0   148.8   223.4   246.1   444.8   547.2   610.7   657.5   712.1   782.8   887.0  1102.1  1524.1  8459.8  55015.2    55000  1715150678849  1715150684152
read      509.5   273.4   160.7   230.4   256.3   471.1   576.3   638.7   685.0   739.9   809.6   910.3  1107.9  1519.3  9303.7  59778.4    60000  1715150685656  1715150690957
read      497.4   285.4   160.7   227.6   252.5   449.6   554.0   622.0   672.3   729.3   799.3   902.7  1128.0  1639.0  9319.3  64991.2    65000  1715150692461  1715150697755
read      567.0   325.5   160.7   249.3   287.3   516.2   627.5   697.9   751.1   819.1   909.2  1049.7  1297.0  1874.9 12248.7  69946.4    70000  1715150699259  1715150704556
read      895.1   480.2   202.4   561.2   601.2   750.5   854.6  1135.8  1252.1  1331.5  1407.1  1495.6  1665.6  5103.2 18709.2  71817.8    75000  1715150706061  1715150711362
read      928.0   469.6   236.1   601.0   636.6   773.1   864.5  1209.0  1316.8  1389.8  1456.8  1544.9  1704.8  5939.0 15802.3  70753.2    80000  1715150712866  1715150718172
read      915.0   490.3   160.7   607.3   642.5   755.0   833.0  1208.6  1317.8  1382.6  1442.7  1509.7  1642.5  5109.0 19230.5  72001.0    85000  1715150719676  1715150724968
read      906.2   484.4   173.5   592.5   622.7   752.3   839.7  1189.4  1298.4  1364.0  1431.0  1500.9  1646.4  4213.3 19225.8  72730.2    90000  1715150726472  1715150731761
read      932.2   579.9   160.7   611.8   649.3   777.4   857.8  1209.9  1333.9  1408.9  1471.2  1558.5  1711.2  3898.2 18150.1  70595.3    95000  1715150733264  1715150738557
read      918.6   460.9   187.4   601.2   634.2   768.0   853.1  1193.1  1305.6  1378.3  1448.4  1535.5  1692.7  4088.4 16868.1  71732.4   100000  1715150740060  1715150745350
read      908.8   477.6   173.5   606.8   641.3   753.6   825.0  1160.5  1310.0  1377.9  1440.8  1510.6  1659.5  4686.5 18122.0  72520.6   105000  1715150746853  1715150752149
read      931.9   474.7   173.5   606.7   644.7   776.5   860.6  1213.6  1330.1  1404.3  1466.5  1551.7  1701.9  5149.6 18096.7  70799.2   110000  1715150753652  1715150758942
read      952.0   468.9   160.7   637.4   665.1   789.1   864.6  1247.0  1373.9  1438.9  1499.4  1581.5  1723.8  5118.0 16091.3  69344.8   115000  1715150760446  1715150765736
read      920.0   455.3   173.5   601.0   631.6   756.3   855.0  1237.0  1319.9  1378.6  1438.7  1501.9  1651.9  5285.9 15430.5  71688.8   120000  1715150767240  1715150772525
read      948.8   494.5   187.4   630.0   661.4   789.1   862.3  1206.1  1362.6  1436.4  1501.8  1583.4  1725.0  5981.8 16766.7  69608.0   125000  1715150774028  1715150779321
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 84.67%,38.69%,100.00%
