Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715351161172
Timestamp end: 1715352061712

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      373.1   396.2   160.7   226.2   251.5   353.9   386.9   403.6   417.7   432.2   453.8   487.8   627.1  4336.9 19829.3   7389.9     7434
read      375.3   197.4   148.8   204.0   217.9   340.2   414.0   456.7   488.8   527.3   577.2   651.9   824.9  1517.0  7360.0  67262.7    67201
read      403.9   279.8   148.8   209.1   225.3   355.4   430.9   477.1   512.7   558.2   623.2   738.8  1076.9  2049.7 12021.2  85973.3    85927
read      392.8   240.3   160.7   206.9   221.7   352.2   431.4   478.0   513.1   555.4   611.9   693.5   903.7  1684.7  8543.3  63965.1    63953
read      385.4   215.4   148.8   203.4   217.2   354.1   440.8   486.9   517.4   548.9   587.5   640.2   749.9  1276.3  8888.9  31597.6    31595
read      394.3   243.0   148.8   210.1   226.3   353.3   425.2   468.5   502.0   542.7   597.0   691.2   962.6  2130.2  7758.7  87931.6    87879
read      369.5   364.2   160.7   223.9   243.6   350.8   384.9   402.1   415.3   429.3   448.9   479.8   621.4  6112.9 13784.5   7318.6     7287
read      398.2   241.2   160.7   206.8   221.7   354.8   435.0   483.4   519.6   563.7   621.1   713.5   966.4  1898.6  9550.1  62254.8    62295
read      365.5   411.4   160.7   217.5   237.6   338.3   370.9   389.8   402.2   420.0   440.8   483.2   679.3  6639.3 13814.6   6520.8     6561
read      382.1   256.4   148.8   206.3   221.3   359.1   441.3   478.9   503.2   529.1   558.0   597.7   689.5  1870.6 11848.8  22498.0    22532
read      375.3   202.8   148.8   204.1   218.3   341.0   418.3   462.6   495.5   533.7   579.8   642.7   785.4  1103.5  8026.5  60550.3    60653
read      393.3   256.4   160.7   204.7   218.6   349.6   431.7   480.2   516.2   557.8   612.0   693.2   921.8  2750.2  8424.3  59050.8    59076
read      396.1   248.2   148.8   207.3   221.6   350.3   433.4   483.9   521.6   565.8   621.3   703.5   920.4  2485.2  7979.5  60178.6    60154
read      399.4   331.3   148.8   209.0   224.1   366.3   449.3   489.3   515.6   544.0   580.5   637.2   858.4  3747.4 13136.6  23008.0    22964
read      455.8  1008.9   160.7   219.7   238.2   360.2   407.9   434.6   455.8   480.9   517.4   592.1  3031.4 10782.0 32340.5   8135.5     8172
read      509.0   569.0   160.7   206.4   221.8   399.4   549.2   656.9   729.2   802.9   894.0  1032.2  1363.9  7618.9 27948.9  27710.3    27652
read      421.3   432.1   148.8   202.5   216.0   351.2   440.8   496.8   538.2   589.1   650.9   793.4  1291.2  4898.8 17797.5  37554.9    37594
read      389.0   253.8   160.7   205.0   219.9   358.7   442.3   483.3   509.8   539.0   575.7   628.5   773.6  2584.7  9023.4  24348.5    24367
read      389.8   211.3   148.8   204.0   218.0   355.6   441.6   488.9   521.5   558.0   604.6   665.9   793.6  1755.3  6931.2  33816.0    33771
read      381.8   191.7   148.8   210.0   225.1   346.9   419.9   462.0   493.4   531.1   580.6   658.2   843.2  1428.1  6655.1  84872.2    84944
read      381.2   212.2   148.8   208.7   224.0   346.2   418.5   460.6   491.9   529.7   579.6   656.3   835.8  1477.6  7947.8  85664.2    85666
