Random waveform, random seed
Total number of intervals = 100 (73632, 63743, 22794, 7197, 68561, 47361, 10933, 62155, 34337, 94199, 98577, 51198, 80694, 95230, 47771, 67382, 93435, 96972, 61885, 41017, 70312, 31066, 40261, 8860, 87264, 23886, 27406, 80203, 8102, 79858, 7970, 56712, 28206, 50132, 29228, 17416, 54504, 72777, 40456, 51254, 80105, 69736, 38700, 90260, 23453, 51791, 71878, 25122, 77264, 13191, 17396, 11019, 92784, 69132, 50852, 64544, 86324, 90708, 45750, 5403, 39867, 36883, 52537, 78897, 7287, 63877, 93244, 15703, 61364, 33300, 54943, 33504, 67466, 79216, 40110, 33148, 63986, 17896, 44762, 29722, 53598, 48224, 74556, 11965, 36668, 37381, 46253, 8828, 39131, 12555, 59678, 14510, 49808, 89125, 42266, 66815, 63316, 63786, 81934, 28930)
Average QPS expected = 50373
Timestamp start: 1715276523768
Timestamp end: 1715277524264

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      380.8   331.5   137.8   188.5   202.0   337.2   416.0   459.7   492.2   532.3   587.7   681.2  1010.3  2709.7 12172.4  54439.6    54504
read      378.9   356.5   137.8   188.6   202.5   333.0   411.0   455.6   489.2   530.6   585.6   680.0   926.9  2888.8 13597.9  72699.6    72777
read      448.2   544.9   137.8   189.8   204.0   346.8   435.5   491.9   538.5   606.9   735.5  1107.5  1732.2  4907.0 29088.8  40501.4    40456
read      384.3   406.3   137.8   189.1   202.8   341.3   421.4   464.2   496.7   536.6   591.4   683.0   936.2  2599.6 20387.3  51214.3    51254
read      373.3   328.9   137.8   189.7   203.8   331.0   404.5   448.4   480.3   520.2   573.9   659.8   868.9  2895.9 12916.2  79997.4    80105
read      377.0   294.0   137.8   189.4   203.1   333.9   411.3   455.7   488.5   529.0   583.8   676.0   917.5  2840.6 10373.4  69532.4    69736
read      456.7   590.8   137.8   189.2   203.3   347.8   437.3   496.2   544.9   618.0   764.4  1129.0  1781.3  6227.2 30146.6  38685.8    38700
read      379.7   334.0   137.8   192.1   207.7   335.8   408.2   452.3   484.9   525.0   578.4   663.5   909.5  3461.5 10567.8  90335.9    90260
read      463.0   547.5   137.8   191.3   205.4   364.2   471.1   541.0   609.9   711.1   827.5   968.6  1468.4  6365.9 22329.2  23453.0    23453
read      391.4   420.0   137.8   189.8   203.6   334.9   411.3   455.6   489.5   532.4   592.2   699.0  1362.4  4118.1 22401.1  51700.0    51791
read      367.3   360.0   137.8   189.5   203.1   324.0   394.9   436.1   468.0   506.6   558.8   640.1   860.5  3083.7 14733.2  71892.1    71878
read      494.9   704.6   148.8   190.0   204.0   372.8   511.5   619.0   712.8   803.2   895.5  1017.5  1516.3  7339.1 30698.7  25123.9    25122
read      386.7   415.8   137.8   191.7   206.8   332.3   405.9   450.4   483.4   524.6   581.3   680.3  1355.5  3776.9 24320.6  77050.4    77264
read      458.6   776.1   148.8   190.0   205.9   384.3   469.3   522.1   558.4   598.1   645.4   728.5  2019.7 10720.9 31708.3  13144.4    13191
read      481.0   735.3   137.8   188.8   202.9   401.5   505.0   576.5   626.9   682.6   746.0   844.7  1639.7 10191.2 30757.1  17403.5    17396
