#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      366.6   413.0   173.5   234.5   259.5   342.0   370.9   387.4   398.3   412.8   432.4   465.1   587.3  7101.4 15672.9   4955.8     5000  1715175215477  1715175220915
read      393.2   279.2   160.7   220.5   236.1   378.5   431.9   458.2   475.4   496.5   527.7   584.9   705.6  4029.5 11992.6   9930.0    10000  1715175222421  1715175227823
read      414.6   266.3   160.7   218.7   233.8   388.9   462.7   499.1   530.8   570.6   613.3   671.5   804.0  3660.2 10813.2  15072.0    15000  1715175229327  1715175234658
read      436.6   297.3   148.8   217.0   233.4   401.9   484.1   537.0   581.5   624.8   674.3   742.0   871.3  2473.1 11075.4  19995.0    20000  1715175236162  1715175241488
read      444.9   281.7   160.7   214.2   231.5   409.9   492.1   549.7   599.3   648.3   706.9   782.8   929.7  1324.0 12394.1  24907.2    25000  1715175242992  1715175248342
read      449.4   249.8   160.7   215.4   232.6   407.4   495.7   557.1   607.9   661.6   725.4   804.8   989.5  1809.2  8642.5  29815.6    30000  1715175249845  1715175255188
read      458.0   263.5   148.8   215.0   232.9   416.5   504.0   565.8   616.7   674.6   744.2   838.8  1029.5  1463.2  8560.9  34931.3    35000  1715175256692  1715175262004
read      469.2   250.6   148.8   217.9   236.6   430.5   523.9   584.7   631.5   691.7   766.0   858.2  1047.7  1485.2  8011.6  40229.8    40000  1715175263509  1715175268821
read      458.4   269.2   148.8   213.1   230.8   416.6   513.5   578.6   624.5   677.1   744.0   836.3  1002.1  1438.1 10054.5  45045.6    45000  1715175270324  1715175275628
read      458.5   244.5   160.7   214.4   232.1   418.8   514.4   574.1   619.3   673.8   743.1   840.7  1029.6  1482.3  7978.9  49973.6    50000  1715175277132  1715175282452
read      462.3   288.4   148.8   216.4   235.0   417.1   512.2   574.1   620.6   678.0   752.1   856.3  1053.1  1457.1 10842.9  54808.0    55000  1715175283956  1715175289290
read      453.9   236.7   148.8   219.5   238.3   409.1   502.8   563.0   610.6   665.7   734.8   834.1  1013.5  1382.2  7298.4  59931.8    60000  1715175290794  1715175296120
read      482.3   283.9   148.8   221.6   242.8   427.2   526.7   591.3   641.1   704.0   786.1   912.4  1180.3  2177.8  9018.6  64804.6    65000  1715175297624  1715175302928
read      469.7   229.5   160.7   228.7   252.6   429.4   519.9   577.9   621.8   675.1   741.4   838.0  1031.0  1381.6  7598.9  69922.0    70000  1715175304433  1715175309747
read      483.8   254.3   148.8   227.4   253.5   437.2   537.6   599.7   641.6   693.8   762.9   870.8  1159.6  1463.6  7705.3  75195.2    75000  1715175311251  1715175316557
read      752.7   466.7   160.7   378.0   452.5   644.7   743.1   955.8  1065.3  1143.0  1215.7  1297.4  1445.4  3898.2 19993.0  79233.6    80000  1715175318061  1715175323378
read      906.2   444.5   173.5   600.8   630.8   746.5   827.1  1212.9  1308.6  1366.8  1428.4  1491.7  1623.2  4064.4 15653.0  72435.0    85000  1715175324882  1715175330190
read      796.4   463.9   148.8   510.2   532.9   645.7   796.6  1075.0  1128.9  1174.0  1227.4  1286.8  1429.8  3978.5 18224.6  81569.2    90000  1715175331694  1715175337007
read      816.1   447.6   148.8   518.0   548.7   668.2   790.8  1098.6  1154.4  1209.2  1263.5  1342.4  1475.2  4595.0 16614.5  80478.6    95000  1715175338511  1715175343829
read      818.6   453.7   187.4   510.8   536.6   666.9   959.0  1098.0  1144.1  1189.6  1245.1  1318.6  1469.5  4470.1 17162.1  80406.6   100000  1715175345333  1715175350643
read      802.3   422.4   173.5   512.5   540.2   660.8   751.7  1075.6  1143.0  1199.8  1254.0  1327.3  1453.7  3821.2 16621.9  81893.1   105000  1715175352148  1715175357455
read      828.8   429.5   173.5   540.8   565.3   676.6   767.3  1123.1  1189.2  1237.7  1287.3  1359.2  1480.9  4321.3 16466.6  79473.8   110000  1715175358958  1715175364255
read      759.8   392.6   160.7   460.1   487.0   622.8   930.0  1012.3  1054.0  1094.7  1148.5  1220.7  1367.1  2335.9 15901.6  86233.4   115000  1715175365759  1715175371075
read      807.3   468.4   160.7   502.0   531.7   663.6   855.2  1069.9  1132.1  1186.1  1245.6  1322.8  1461.7  3941.7 19789.4  81679.4   120000  1715175372578  1715175377879
read      816.4   486.0   173.5   517.1   547.7   668.9   783.7  1089.6  1153.1  1210.1  1264.1  1342.6  1480.2  4834.6 19772.3  80874.5   125000  1715175379383  1715175384696
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.50%,64.65%,100.00%
