Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715367548478
Timestamp end: 1715368449126

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      363.7   395.9   148.8   222.8   240.6   340.5   371.2   387.5   398.1   411.7   429.9   464.4   836.0  6211.4 15240.5   7417.4     7434
read      388.4   242.1   148.8   204.9   219.7   348.2   425.5   471.0   504.5   543.9   595.3   675.7   866.3  2495.3  7154.7  67187.6    67201
read      470.9   371.6   148.8   215.0   234.8   406.8   506.0   565.0   608.8   663.0   743.0   943.3  1345.1  3004.0 12401.0  85913.6    85927
read      380.3   227.9   148.8   204.4   219.4   345.5   418.7   461.4   493.3   530.7   578.5   651.1   827.3  1930.6  7874.5  63973.8    63953
read      410.4   464.9   148.8   202.4   216.3   339.3   430.6   484.3   519.6   557.6   610.1   727.2  1267.2  6878.7 19672.6  31626.6    31595
read      405.3   384.1   148.8   206.1   222.3   352.1   424.8   468.2   501.5   542.1   596.7   686.7  1512.4  4564.6 13053.9  87728.3    87879
read      367.9   494.5   160.7   216.4   234.0   335.7   368.2   386.4   398.8   415.8   436.6   481.9   781.7  8092.8 20098.8   7307.5     7287
read      397.3   321.5   148.8   204.4   219.4   348.0   424.8   469.8   503.8   544.5   599.8   687.7  1275.4  2897.2 10047.0  62345.1    62295
read      360.3   423.5   160.7   224.2   243.8   333.7   361.3   375.1   387.3   399.5   418.6   452.6   816.3  5966.1 16583.6   6518.5     6561
read      376.0   255.3   148.8   204.4   219.0   345.8   431.4   471.6   495.9   521.7   549.4   592.8   696.2  2168.2 11258.0  22539.7    22532
read      375.8   191.1   148.8   205.0   219.8   341.3   414.6   459.6   493.7   533.1   581.1   650.8   792.0  1276.5  6256.6  60845.2    60653
read      378.2   188.0   148.8   205.2   220.0   342.6   418.1   463.5   497.3   536.6   584.1   653.8   805.2  1379.8  6945.1  59127.5    59076
read      395.6   253.6   148.8   208.1   223.6   356.9   434.9   481.2   515.1   554.5   606.7   683.3   866.9  2136.7  8706.0  60142.1    60154
read      437.6   423.0   148.8   208.9   224.3   375.1   478.7   527.3   561.3   606.7   687.8   861.9  1175.5  4285.2 18984.2  22960.5    22964
read      396.4   465.8   160.7   220.6   237.9   360.7   402.6   426.7   444.5   467.1   500.5   562.8  1305.1  5502.5 19579.0   8207.7     8172
read      436.2   375.4   148.8   207.5   222.9   359.3   463.0   519.6   559.7   614.9   718.7   939.5  1274.4  3121.7 12611.1  27592.3    27652
read      406.9   275.6   148.8   207.0   222.5   355.2   436.4   489.8   527.8   571.6   627.4   719.7  1265.2  2025.7  7955.2  37576.7    37594
read      431.5   344.5   148.8   208.8   224.0   365.1   465.8   517.4   552.1   598.7   686.6   887.4  1214.5  3812.8 12117.4  24344.9    24367
read      442.7   350.8   148.8   206.7   222.2   353.5   454.1   518.6   564.7   624.5   737.3  1048.1  1419.0  2682.4  9972.8  33795.2    33771
read      395.9   236.8   148.8   211.8   228.5   358.5   431.1   474.3   506.6   545.2   595.9   677.9   900.4  2199.6  7858.6  85013.7    84944
read      384.1   226.6   148.8   209.3   225.5   348.9   419.1   460.8   492.3   530.4   580.0   655.3   826.3  1918.4  7545.8  85716.3    85666
read      395.5   230.8   148.8   208.5   224.2   357.2   434.5   482.7   519.2   562.0   616.0   686.5   838.6  1961.7  8311.2  51980.0    51918
read      398.2   297.3   148.8   206.6   221.8   345.0   433.5   488.3   524.9   564.5   612.5   683.3  1110.0  2706.9 10018.6  34469.3    34406
read      424.9   346.8   148.8   206.5   221.9   355.4   459.7   513.6   548.4   591.1   657.9   849.8  1244.9  3718.9 12189.0  28596.4    28664
read      399.6   284.8   148.8   205.7   220.9   350.5   432.2   485.9   524.2   567.1   619.5   690.7  1102.0  2427.7 10042.5  38325.2    38289
read      497.1   566.3   148.8   212.5   228.9   420.8   530.1   603.7   665.7   734.6   812.6   930.7  1338.4  7552.1 28921.4  20605.2    20658
read      488.0   832.8   160.7   213.6   231.3   411.1   502.1   557.9   599.5   642.9   693.6   779.9  1477.0 10754.7 32373.6  13813.4    13840
read      415.8   462.5   148.8   212.9   230.6   364.4   435.3   479.1   511.6   550.7   605.6   690.3  1003.2  6047.0 16185.0  93494.9    93419
read      401.3   307.0   148.8   215.7   233.9   366.6   434.8   476.1   507.4   545.7   594.9   675.2   866.1  2052.6 10044.5  98256.4    98284
read      386.3   214.5   148.8   206.1   221.2   347.4   423.5   467.7   501.4   540.8   591.2   671.2   865.7  2073.8  7218.7  71376.0    71313
read      390.5   230.7   148.8   205.4   220.7   351.0   428.6   478.4   515.8   557.4   609.5   677.2   853.3  1832.3  8591.6  42103.2    42089
read      396.8   282.6   148.8   204.4   220.1   355.2   435.8   485.1   521.8   563.9   616.1   686.1   890.1  2308.4 10047.2  46382.6    46458
read      444.4  1130.1   148.8   200.8   215.4   357.1   466.0   527.0   568.4   620.5   704.3   949.0  1358.2  4992.6 13674.3  30797.9    30755
read      397.7   613.4   148.8   200.8   215.5   355.5   437.8   488.7   525.4   567.6   619.1   687.9   900.3  2103.3  9956.7  42901.6    42889
read      409.9   343.1   148.8   214.4   233.2   371.2   444.2   487.3   519.6   559.2   613.6   699.4   922.5  2095.2 13682.8  93504.0    93552
read      395.5   380.9   148.8   206.6   221.9   354.0   432.7   478.7   512.2   551.7   604.8   683.6   887.5  2944.2  9734.4  65632.0    65694
read      443.7   415.4   148.8   207.1   222.5   361.8   467.6   526.8   567.8   619.8   703.7   931.3  1340.6  5360.6 11496.2  29612.4    29574
read      395.9   262.2   148.8   206.9   222.2   359.3   435.0   481.6   516.1   556.5   609.7   683.2   872.9  2127.7  7934.9  51405.3    51355
read      390.0   254.4   148.8   206.7   221.7   351.7   428.5   472.8   506.1   545.6   596.6   676.1   866.9  2059.9  9567.6  67390.2    67361
read      452.7   451.8   160.7   209.7   225.8   398.8   481.2   530.5   574.7   633.1   704.9   802.6  1165.6  6292.8 15873.6  16303.4    16287
read      406.6   348.2   148.8   208.4   224.6   355.5   429.8   474.1   507.6   548.0   604.6   695.7  1230.4  4437.6 10337.9  81378.9    81508
read      386.8   262.4   148.8   207.3   223.3   348.9   420.0   462.0   493.8   532.2   582.8   663.0   866.6  2590.2  8678.5  87493.8    87619
read      394.1   252.6   148.8   212.2   230.2   360.2   426.6   466.6   497.4   534.4   583.3   662.2   866.0  2209.7  8696.6  99043.5    99068
read      391.4   251.0   148.8   205.0   220.1   352.0   427.8   474.3   510.2   551.1   603.8   677.4   894.5  2339.2  7710.2  51269.0    51267
read      408.6   574.5   148.8   211.0   227.1   369.4   426.6   456.8   478.5   506.2   548.1   623.5   927.9  7576.5 29270.4  11893.1    11822
read      415.1   403.0   148.8   213.6   232.3   368.2   439.2   482.3   514.3   553.9   608.7   697.3   988.1  5406.8 12870.1  97573.1    97494
read      389.7   272.4   148.8   210.6   227.9   355.7   423.6   463.6   494.0   530.5   579.0   655.5   848.6  2111.9 10040.1  97446.1    97350
read      384.2   260.8   148.8   203.3   217.8   345.6   418.5   462.6   497.0   538.2   590.0   666.0   857.9  2108.0  9513.1  55509.8    55460
read      383.1   254.2   148.8   206.2   221.9   345.4   416.5   458.3   489.5   527.0   576.4   653.3   854.9  2329.1 10232.9  85927.8    85984
read      384.2   253.3   148.8   206.3   221.8   346.5   419.3   461.7   493.7   531.5   580.4   658.1   847.9  2404.5  9688.3  81870.6    82043
read      390.1   332.9   148.8   202.3   216.2   353.0   430.7   474.3   507.2   545.3   594.1   668.7   849.6  2162.4 10803.7  52900.7    52873
read      431.0   516.9   148.8   198.5   213.6   384.2   455.5   496.7   530.1   575.7   634.0   717.3  1191.9  7299.3 24077.6  13910.4    13911
read      394.1   324.1   148.8   199.5   214.0   351.1   428.6   473.7   507.2   547.0   599.4   678.2  1081.0  2740.4 10049.8  49991.5    49984
read      421.9   694.8   160.7   207.1   224.6   369.6   422.9   452.4   472.7   500.3   535.3   593.6  1445.2  9780.3 31251.5   9282.6     9274
read      438.3   413.4   148.8   198.8   213.3   360.6   469.8   526.4   566.6   622.5   733.2   935.5  1271.3  4000.7 15901.0  27144.6    27187
read      493.2   662.3   148.8   208.7   225.6   421.0   526.4   595.8   646.9   700.1   761.9   856.6  1378.7  9805.8 30414.6  18761.5    18735
read      401.7   401.8   148.8   207.5   224.1   353.5   425.7   468.3   501.0   540.5   592.8   679.3  1052.8  4759.8 16074.8  86377.2    86505
read      385.0   284.6   148.8   208.2   225.0   349.6   417.3   458.3   488.8   525.5   573.7   647.6   833.6  2304.9  9873.3  92997.7    93039
read      381.4   268.4   148.8   205.0   219.9   342.6   416.6   460.6   493.4   532.1   581.1   656.4   836.5  2119.6  9113.6  75827.2    75999
read      424.6   341.3   148.8   203.5   218.9   350.5   454.8   515.5   555.6   603.0   670.0   863.8  1287.5  3386.4 11613.3  32293.3    32324
read      392.7   281.4   148.8   203.8   219.7   352.0   426.4   469.3   501.4   539.9   590.0   672.7   930.5  3360.6  9749.0  84172.5    84255
read      389.7   292.2   148.8   203.7   220.6   351.6   422.8   463.7   494.9   532.6   582.5   663.9   918.0  2824.0  9854.7  81915.0    81759
read      393.6   243.9   148.8   199.3   215.1   352.4   433.0   480.9   514.8   553.1   603.3   678.7  1016.8  2660.3  7952.1  37273.3    37291
read      396.1   238.5   148.8   202.1   218.3   356.4   435.5   482.3   517.2   558.4   612.4   690.9   952.0  1933.8  8816.1  53780.2    53818
read      445.6   543.8   148.8   202.8   219.0   368.7   476.5   532.5   571.2   618.3   686.0   855.1  1322.2  6169.4 26160.7  30337.8    30297
read      418.9   309.7   148.8   204.3   220.9   363.6   458.3   510.2   545.4   587.6   641.3   744.3  1231.0  3259.3  9407.1  31564.1    31569
read      419.4   454.7   148.8   205.1   221.7   359.8   442.5   494.6   532.8   578.1   634.5   719.3  1243.8  5861.1 18732.3  38872.3    38927
read      517.1  1203.0   160.7   212.4   231.2   400.2   476.4   519.9   550.2   588.1   635.8   724.7  3096.0 22168.6 38099.4  10677.5    10652
read      496.4   439.6   148.8   231.9   262.2   437.5   526.5   585.6   633.1   692.1   768.7   875.1  1191.7  4801.9 13680.5  98098.9    98119
read      396.5   289.9   148.8   203.1   219.0   354.2   432.5   482.7   520.3   563.5   617.0   689.7   872.7  2404.7  9459.6  48241.4    48176
read      375.3   238.4   148.8   201.4   216.7   331.3   419.7   475.6   511.3   546.1   584.4   635.2   735.2  1719.0  8101.4  34938.8    34929
read      362.2   173.4   148.8   197.1   212.1   333.3   400.8   441.9   472.3   508.7   553.4   619.2   742.9  1038.1  5747.6  69650.4    69735
read      373.6   257.3   148.8   199.8   214.2   352.6   436.1   471.4   493.2   516.1   542.5   582.7   670.8  2167.9 10174.9  20720.2    20753
read      360.9   172.9   148.8   199.3   214.6   333.4   398.7   437.2   466.2   501.0   544.6   611.0   738.7   989.1  4958.0  84402.3    84642
read      369.5   206.5   137.8   196.8   211.7   334.4   408.8   458.1   493.4   531.5   573.8   630.3   741.5  1443.5  8522.2  42351.6    42333
read      364.6   204.5   148.8   195.4   209.8   337.9   406.3   447.2   476.6   511.6   553.0   615.6   745.2  1111.5  8028.8  61661.7    61587
read      359.1   174.6   148.8   196.7   211.0   330.3   398.3   438.0   467.7   503.4   547.1   613.3   741.9  1010.5  6470.0  77948.2    77998
read      354.5   179.2   148.8   202.1   216.5   330.1   390.0   424.9   451.1   482.5   524.3   586.3   711.1   941.8  7992.4  97599.0    97625
read      366.1   243.8   148.8   204.5   219.2   332.8   419.9   460.0   484.3   508.3   535.5   572.4   644.0  2099.2 10324.0  23740.4    23781
read      360.7   189.7   148.8   197.5   211.9   331.3   399.3   439.6   470.1   507.4   552.1   615.4   725.3  1024.1  7671.7  66730.3    66723
read      364.7   211.4   148.8   196.2   210.4   325.9   412.3   461.8   492.7   524.5   559.2   606.9   705.0  1848.3  8102.3  31039.9    31016
read      365.3   202.8   137.8   198.2   213.1   333.1   401.1   446.0   479.8   519.7   565.0   623.3   727.9  1283.1  7955.2  47409.2    47394
read      355.5   177.9   148.8   199.8   214.4   329.9   392.1   427.8   454.7   486.8   529.1   592.6   728.2  1092.9  6634.6  95315.6    95335
read      352.2   418.2   160.7   226.5   249.4   323.6   346.6   360.7   369.6   381.7   398.3   431.7   868.3  7120.5 14818.1   5221.3     5252
read      359.9   184.1   148.8   197.7   212.1   330.8   398.2   437.9   468.2   504.6   548.7   613.2   728.0  1022.5  8197.6  65934.6    65908
read      367.2   216.0   148.8   207.3   222.0   354.7   420.2   449.3   467.5   488.6   511.3   546.9   634.9  2079.1  8102.3  16916.7    16889
read      364.6   219.2   137.8   195.4   210.0   334.7   403.8   448.3   479.8   515.1   554.2   611.8   732.9  1518.8  9910.7  42704.0    42912
read      356.2   176.9   148.8   202.6   217.6   331.6   391.7   427.0   453.2   484.2   525.3   588.0   724.0   960.8  7785.0  99748.4    99898
read      359.1   246.3   148.8   194.7   208.4   327.7   409.3   451.2   477.1   503.4   533.8   576.2   669.2  2160.3 10675.0  26427.4    26385
read      358.9   213.7   148.8   196.2   209.9   333.2   417.9   455.2   477.6   500.5   527.4   563.4   640.3  2049.2  8414.7  22615.2    22616

Total QPS = 51574.8 (46417304 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11465073594 bytes :   12.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.99%,50.00%,100.00%
