#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      352.5   443.1   160.7   224.5   252.4   330.5   355.0   368.1   377.3   389.9   402.5   429.8   533.1  6248.3 18753.6   4955.8     5000  1715111966073  1715111971517
read      371.6   375.2   148.8   211.7   227.7   367.8   407.6   427.3   440.4   456.1   471.8   503.9   574.9  3880.5 20477.6  10047.8    10000  1715111973023  1715111978395
read      376.3   317.1   148.8   205.8   220.4   372.3   428.0   454.2   470.6   490.4   511.0   546.0   629.7  3813.8 14163.2  14848.8    15000  1715111979898  1715111985217
read      373.2   206.8   148.8   202.6   216.8   363.1   432.6   465.0   486.1   507.7   536.3   578.8   679.3  1203.4  8799.3  19948.8    20000  1715111986720  1715111992042
read      369.3   231.1   148.8   200.0   213.9   343.8   423.1   462.6   488.8   516.9   548.0   595.5   698.7  1307.2 10376.9  25093.3    25000  1715111993546  1715111998857
read      377.2   213.9   148.8   200.7   214.8   350.7   428.5   470.7   499.7   530.8   567.2   621.5   743.5  1282.9  8003.8  29839.2    30000  1715112000360  1715112005674
read      383.1   215.7   148.8   197.8   212.3   351.7   432.9   479.9   512.6   547.5   591.0   654.8   795.0  1362.0  8083.7  34919.2    35000  1715112007177  1715112012517
read      371.9   196.6   148.8   197.1   211.0   339.8   415.7   462.1   496.1   534.3   578.3   637.2   762.1  1160.0  7699.4  39835.2    40000  1715112014020  1715112019308
read      385.4   223.3   148.8   196.2   210.4   354.7   434.0   481.0   515.2   552.6   599.8   675.2   844.8  1319.2  7895.5  44933.2    45000  1715112020810  1715112026105
read      383.2   225.9   148.8   195.7   209.4   340.8   425.5   475.8   514.2   557.3   613.1   702.0   903.8  1326.6  7394.5  50093.0    50000  1715112027608  1715112032894
read      373.4   216.5   148.8   195.8   208.9   336.3   413.9   460.1   496.4   539.5   591.3   666.0   855.6  1358.5  7320.6  54953.0    55000  1715112034398  1715112039684
read      370.8   201.5   148.8   195.5   208.9   332.7   411.9   458.0   493.6   535.8   586.4   659.5   832.9  1342.1  7738.1  59954.4    60000  1715112041188  1715112046491
read      371.8   219.9   148.8   195.3   208.5   325.4   405.8   454.7   492.1   538.3   594.8   683.6   912.4  1382.6  8124.8  64761.4    65000  1715112047995  1715112053307
read      375.5   209.1   148.8   195.7   209.0   320.0   401.6   454.1   495.2   544.7   610.3   723.5  1029.1  1566.7  5968.7  70249.0    70000  1715112054810  1715112060125
read      366.9   208.1   148.8   195.0   208.1   317.5   395.4   442.4   479.4   527.3   589.3   686.7   955.3  1497.7  6354.2  74893.4    75000  1715112061629  1715112066943
read      369.8   216.2   148.8   196.1   209.3   315.9   392.0   440.3   479.2   529.8   595.1   706.8  1008.9  1603.4  7389.5  79680.2    80000  1715112068446  1715112073751
read      360.1   221.3   148.8   196.1   208.6   305.7   373.6   419.0   456.7   506.9   578.6   696.9  1014.5  1663.0  7313.9  84779.6    85000  1715112075254  1715112080560
read      367.8   232.4   148.8   196.8   209.8   308.7   376.9   424.3   465.0   519.0   593.9   728.3  1101.0  1733.6  7950.4  90020.2    90000  1715112082063  1715112087373
read      374.9   772.9   148.8   200.6   214.2   318.6   387.7   432.5   469.9   520.0   587.8   712.5  1067.1  1724.0  7857.4  94957.0    95000  1715112088877  1715112094194
read      360.2   197.9   148.8   201.3   213.9   310.2   372.0   412.0   446.2   494.3   566.2   685.7  1035.9  1664.7  5591.4  99888.6   100000  1715112095697  1715112101010
read      396.0   278.6   148.8   205.2   220.2   322.6   392.1   441.4   486.1   546.3   635.1   830.8  1400.1  2465.3  7618.9 105258.8   105000  1715112102514  1715112107827
read      396.8   249.1   148.8   208.7   224.6   338.0   401.8   447.4   488.4   545.2   629.1   796.5  1244.6  1902.8  7533.2 110130.4   110000  1715112109330  1715112114651
read      565.9   686.8   148.8   220.8   236.0   320.7   450.4   602.3   741.7   941.3  1215.6  1669.5  2999.8  5823.4 19117.8 112892.0   115000  1715112116154  1715112121465
read      507.5   689.1   148.8   212.2   229.2   352.3   425.3   481.5   543.5   650.6   859.1  1386.9  2888.1  7778.6 29014.1 118779.2   120000  1715112122969  1715112128305
read      602.9   987.5   148.8   227.9   243.5   312.7   359.8   482.4   671.1   947.7  1322.5  1917.8  4222.4  8890.7 32420.9 110173.0   125000  1715112129808  1715112135122
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.54%,69.65%,100.00%
