#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      373.1   574.0   160.7   230.6   258.2   341.2   365.1   377.5   388.1   398.7   415.1   443.1   689.1  8039.6 23387.4   4930.4     5000  1715173808255  1715173813791
read      386.0   492.9   160.7   220.3   235.6   375.4   413.0   431.3   444.7   460.1   478.5   506.9   597.6  5592.7 24376.8  10031.6    10000  1715173815296  1715173820723
read      383.0   266.5   160.7   216.2   230.0   380.2   436.7   461.7   478.1   496.0   516.6   546.0   628.1  3873.0 11596.8  14907.3    15000  1715173822228  1715173827564
read      396.0   309.7   160.7   211.3   226.2   381.5   461.3   494.9   515.7   537.1   561.9   592.6   710.7  3893.1 13696.0  19959.2    20000  1715173829067  1715173834428
read      383.0   223.8   160.7   207.5   222.1   346.4   452.7   495.4   520.5   544.4   571.6   605.9   684.9  1475.9  8711.1  24972.6    25000  1715173835932  1715173841287
read      382.4   249.9   148.8   205.4   219.5   335.6   438.5   490.4   521.7   552.0   584.3   628.3   725.1  2638.6  9758.9  29903.6    30000  1715173842791  1715173848114
read      370.4   223.7   148.8   203.6   216.8   320.7   416.1   474.5   511.6   545.2   579.2   621.5   692.3  1455.5  9581.3  35075.3    35000  1715173849618  1715173854926
read      371.5   219.3   148.8   203.5   216.8   322.4   409.5   469.7   510.8   550.7   590.2   634.8   724.3  1612.2  7943.6  39892.0    40000  1715173856430  1715173861735
read      375.5   217.6   148.8   205.5   219.9   330.3   415.3   468.5   510.5   554.9   597.8   642.8   727.1  1381.3  9563.6  45076.8    45000  1715173863238  1715173868556
read      367.9   200.8   148.8   205.1   218.9   323.8   399.9   451.4   492.6   539.3   586.4   637.3   727.1  1493.5  7322.4  49661.0    50000  1715173870061  1715173875395
read      358.6   186.7   148.8   204.3   217.2   315.3   385.3   435.0   475.4   523.2   574.2   629.4   718.2  1298.1  7384.9  54880.2    55000  1715173876899  1715173882214
read      353.3   189.1   148.8   203.9   216.5   309.6   372.7   419.5   459.9   510.8   567.1   630.4   729.5  1362.2  7664.6  60039.6    60000  1715173883718  1715173889033
read      356.9   180.0   148.8   204.3   217.5   318.6   385.4   427.3   461.6   507.0   560.8   622.8   719.2  1456.8  6824.9  65107.4    65000  1715173890536  1715173895848
read      355.7   189.2   148.8   204.8   218.2   316.5   381.1   423.7   458.3   502.8   557.5   623.6   725.8  1484.7  7456.8  69993.0    70000  1715173897352  1715173902646
read      356.2   181.9   148.8   207.9   221.6   318.6   382.3   422.5   454.7   497.0   551.3   621.3   728.1  1322.6  7181.0  74908.4    75000  1715173904150  1715173909454
read      354.8   173.7   148.8   206.2   220.0   317.9   382.6   423.5   455.6   496.1   546.7   615.3   729.6  1255.6  4850.8  79859.6    80000  1715173910958  1715173916265
read      354.4   171.5   148.8   207.0   221.0   321.4   385.5   423.5   452.5   488.5   536.4   604.3   715.7  1007.6  6498.8  85125.2    85000  1715173917769  1715173923070
read      350.8   168.9   148.8   207.5   221.3   316.1   376.4   415.2   445.4   483.4   533.4   603.7   730.5  1028.4  5763.1  89980.4    90000  1715173924573  1715173929880
read      358.0   167.1   160.7   212.0   226.0   325.9   385.5   421.8   450.4   486.5   535.2   605.5   736.9  1223.3  6998.0  94854.6    95000  1715173931384  1715173936696
read      351.2   142.7   160.7   211.6   226.0   324.4   380.0   412.8   437.9   469.9   513.4   580.9   701.7   936.2  5537.7 100024.2   100000  1715173938200  1715173943515
read      350.2   165.9   148.8   211.8   226.2   321.6   375.3   408.0   434.0   467.4   511.6   578.7   703.9  1073.3  5956.4 105062.6   105000  1715173945020  1715173950327
read      359.4   147.3   148.8   217.5   232.5   336.0   389.6   421.4   445.8   475.9   517.3   581.0   704.4   992.1  3902.5 109698.6   110000  1715173951831  1715173957134
read      384.3   166.3   160.7   223.4   241.7   360.3   418.6   454.6   481.8   514.6   557.2   623.9   752.3   975.6  6864.4 115032.0   115000  1715173958637  1715173963955
read      519.3   251.6   160.7   278.5   312.2   488.4   575.0   626.2   664.0   707.5   761.3   842.8   992.9  1341.8 10051.6 116437.0   120000  1715173965459  1715173970777
read      524.4   238.2   160.7   279.7   315.8   480.4   570.9   630.0   675.5   728.9   794.0   884.3  1062.1  1902.4  8071.4 116945.8   125000  1715173972281  1715173977589
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.37%,52.53%,100.00%
