#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      354.8   276.2   160.7   226.5   242.1   326.3   369.7   395.2   414.6   437.7   469.7   523.2   671.5  3915.9 10823.6  29913.1    30000  1714480472933  1714480483100
read      412.6   646.2   173.5   229.9   245.8   338.5   388.7   420.3   445.5   477.6   522.7   602.5  1196.0 10293.2 19601.0  29966.5    30005  1714480484611  1714480494752
read      457.4   718.4   173.5   241.7   260.3   369.6   428.2   464.7   494.8   533.2   586.7   686.0  1832.3 10801.7 23215.4  29950.8    30010  1714480496261  1714480506371
read      387.5   437.4   160.7   232.9   248.0   332.3   378.4   407.5   431.2   461.7   503.6   582.7  1236.2  7534.3 15553.2  29923.7    30015  1714480507880  1714480517998
read      403.7   398.7   160.7   236.4   253.7   355.7   406.0   436.2   460.9   491.5   534.1   613.5  1087.1  6663.1 14381.0  30064.5    30020  1714480519506  1714480529617
read      328.9   194.8   160.7   222.6   236.3   308.1   344.4   367.6   385.6   406.8   436.7   484.3   581.8  1571.7  8704.3  29980.4    30025  1714480531124  1714480541241
read      349.0   237.1   160.7   226.3   242.1   326.3   368.7   393.5   411.8   434.1   464.9   511.4   623.7  2460.1 11467.9  29989.9    30030  1714480542750  1714480552858
read      352.2   243.4   160.7   230.5   246.0   330.4   372.1   396.4   414.5   435.5   465.2   509.1   616.8  2637.8 11930.4  30032.4    30035  1714480554368  1714480564486
read      352.3   200.8   160.7   231.2   246.9   332.3   374.5   399.1   417.6   438.3   467.8   513.2   617.2  1943.3  8749.1  30074.1    30040  1714480565993  1714480576107
read      346.8   220.3   160.7   227.3   242.8   327.2   369.1   393.3   410.8   432.3   461.5   505.3   594.1  1671.0 12083.5  30089.5    30045  1714480577614  1714480587732
read      339.4   259.5   160.7   227.5   241.6   314.9   352.9   375.2   393.5   415.4   445.2   491.8   584.4  3257.7 10100.4  30004.5    30050  1714480589242  1714480599360
read      348.9   213.1   160.7   226.4   242.8   329.7   372.0   396.4   414.6   435.7   465.0   508.7   609.5  1557.6 11243.1  30041.3    30055  1714480600869  1714480610983
read      333.0   212.4   173.5   224.3   238.1   310.4   347.9   371.5   390.0   411.8   440.8   487.5   581.7  2106.4  9138.9  30017.3    30060  1714480612492  1714480622603
read      336.4   210.6   160.7   224.6   239.3   315.3   353.3   375.5   393.8   415.8   445.9   492.9   587.2  2083.0  9726.5  30079.8    30065  1714480624111  1714480634223
read      347.9   213.3   160.7   227.2   243.1   328.8   371.0   395.1   412.6   433.5   462.8   506.3   599.2  1544.3  9442.3  30145.6    30070  1714480635731  1714480645849
read      355.4   241.9   160.7   227.5   243.8   333.5   376.9   401.0   419.8   440.9   469.4   515.8   631.2  2486.5  9252.2  30059.3    30075  1714480647359  1714480657468
read      344.3   237.5   160.7   225.7   240.5   319.8   361.5   385.9   403.3   427.2   458.4   505.3   618.3  2861.0  8707.5  30195.4    30080  1714480658975  1714480669090
read      341.4   219.2   160.7   225.9   240.9   319.1   359.3   382.9   400.3   423.4   453.5   500.7   602.2  2026.5  9923.6  30036.4    30085  1714480670599  1714480680719
