#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      336.7   451.7   160.7   223.8   242.6   307.5   330.2   342.8   353.1   366.2   384.2   421.4   623.7  7634.5 19754.6   4976.4     5000  1715258547447  1715258552880
read      360.8   327.8   148.8   220.9   239.1   344.3   381.3   398.9   411.7   426.3   444.6   473.7   593.7  4624.5 11916.7  10095.8    10000  1715258554384  1715258559782
read      363.9   322.0   148.8   210.0   226.9   352.7   402.0   424.3   438.4   455.1   471.7   503.2   588.7  3824.3 13187.6  14947.8    15000  1715258561285  1715258566631
read      358.9   269.5   148.8   199.3   214.3   339.8   408.9   438.2   456.0   474.5   498.2   533.4   631.4  2169.0 10863.8  20042.2    20000  1715258568136  1715258573473
read      353.4   207.6   148.8   197.7   211.9   331.9   404.1   438.2   458.6   479.9   503.0   537.9   625.4  1978.9  8562.3  24901.0    25000  1715258574977  1715258580315
read      359.8   197.8   148.8   197.2   211.5   334.5   408.2   448.9   474.6   499.4   527.1   563.8   676.5  1918.0  9484.1  30107.4    30000  1715258581819  1715258587145
read      354.2   221.4   148.8   195.7   209.4   326.1   395.6   437.8   466.5   495.7   527.0   568.1   677.0  1999.1  8997.6  35052.2    35000  1715258588650  1715258593944
read      357.5   200.9   148.8   194.9   208.9   331.8   399.2   439.5   468.6   499.5   533.7   579.1   704.0  1971.5  8626.3  40015.2    40000  1715258595447  1715258600770
read      355.4   201.1   148.8   195.1   208.9   328.7   397.7   436.5   465.6   497.7   533.2   579.7   707.7  1916.8  8259.8  44888.0    45000  1715258602274  1715258607606
read      351.7   209.5   148.8   194.4   208.1   326.1   392.1   429.6   458.1   490.1   526.3   575.1   710.8  1340.9  8792.5  49980.9    50000  1715258609111  1715258614428
read      352.8   201.4   148.8   194.2   207.8   325.0   393.3   431.3   460.1   492.3   530.1   581.7   734.8  1368.3  9142.8  54981.7    55000  1715258615931  1715258621243
read      354.5   185.1   148.8   193.8   207.4   318.8   392.8   434.9   465.8   500.4   540.9   604.7   805.7  1234.0  7744.8  59924.8    60000  1715258622747  1715258628061
read      349.8   178.6   148.8   195.1   209.2   325.4   390.9   425.8   451.8   482.5   520.6   574.4   713.9  1102.8  9020.5  64871.6    65000  1715258629565  1715258634868
read      339.4   170.2   148.8   193.5   206.8   312.0   372.1   406.2   433.3   466.2   507.0   566.1   717.0  1268.8  6136.5  70139.2    70000  1715258636372  1715258641673
read      347.8   176.2   148.8   194.4   208.2   319.1   384.0   420.7   447.8   479.4   520.0   581.4   755.5  1227.2  7765.5  74875.4    75000  1715258643176  1715258648478
read      348.1   186.1   148.8   194.2   208.5   323.2   386.5   420.9   445.5   474.2   512.6   573.1   740.8  1149.7  6885.3  79793.4    80000  1715258649983  1715258655292
read      355.0   179.9   148.8   195.7   210.8   331.3   394.4   428.3   453.4   483.3   522.9   586.5   768.8  1176.6  7806.9  85021.2    85000  1715258656796  1715258662097
read      347.9   168.6   137.8   195.7   210.2   323.8   385.1   418.8   443.1   471.3   509.3   574.3   736.1  1085.1  6986.9  89936.4    90000  1715258663601  1715258668897
read      342.3   181.0   137.8   196.6   210.7   316.9   375.3   408.3   433.1   462.9   501.3   563.3   727.0  1015.8  6018.1  94960.6    95000  1715258670401  1715258675715
read      342.2   190.9   148.8   197.6   211.9   318.2   374.6   406.4   430.5   459.0   496.0   554.2   711.9  1085.5  8720.0  99943.1   100000  1715258677218  1715258682535
read      374.7   204.2   148.8   207.2   224.3   346.0   406.1   442.0   468.3   502.1   548.0   634.9   842.6  1318.2  8560.5 104940.2   105000  1715258684038  1715258689350
read      381.3   191.1   148.8   206.2   223.1   347.2   410.8   449.3   478.2   516.3   575.3   688.5   901.4  1203.9  6352.2 109642.8   110000  1715258690853  1715258696146
read      371.8   187.1   148.8   207.7   225.0   342.7   400.3   435.7   464.0   499.6   549.3   640.4   817.9  1073.2  6792.4 115183.8   115000  1715258697649  1715258702957
read      478.8   224.4   148.8   254.0   285.3   442.4   528.0   581.1   620.0   665.5   722.0   798.3   935.9  1158.0  9012.7 119245.8   120000  1715258704460  1715258709770
read      449.9   189.0   148.8   245.9   275.8   422.2   493.1   537.2   570.4   609.9   661.2   737.7   880.0  1080.6  7657.7 123554.9   125000  1715258711273  1715258716582
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.31%,70.35%,100.00%
