#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      372.6   534.6   160.7   230.9   255.3   335.1   363.8   379.5   391.8   404.2   425.5   461.0   906.4  8728.1 21338.6   4972.0     5000  1715175446641  1715175452120
read      391.5   333.4   160.7   221.4   237.4   376.1   429.3   455.8   472.7   493.8   518.6   561.8   704.6  3998.7 20511.1   9925.4    10000  1715175453626  1715175459008
read      413.4   336.9   160.7   216.0   232.0   388.1   460.7   496.3   521.6   550.4   604.2   664.1   792.9  3451.1 15650.1  15029.0    15000  1715175460511  1715175465850
read      422.6   248.2   160.7   213.9   230.1   391.2   474.6   518.4   548.7   602.2   650.9   717.6   844.2  2417.6  8790.1  20003.8    20000  1715175467354  1715175472689
read      435.3   249.8   148.8   212.6   229.9   401.1   483.7   531.7   574.9   630.0   687.6   764.2   910.7  2513.4  9729.9  25020.4    25000  1715175474194  1715175479521
read      452.3   248.7   148.8   213.2   231.2   410.9   502.3   559.8   613.3   668.7   732.9   816.2  1020.1  1525.6  8481.6  29896.6    30000  1715175481025  1715175486338
read      454.7   264.7   148.8   212.6   230.8   416.4   505.9   560.6   611.9   669.0   737.1   826.7   999.1  1603.7  9937.8  35131.6    35000  1715175487841  1715175493154
read      455.2   240.0   148.8   213.5   231.0   416.4   508.0   563.1   613.7   671.6   741.0   832.2  1014.0  1447.9  7795.2  39974.6    40000  1715175494658  1715175499980
read      458.8   248.7   160.7   215.8   234.3   421.2   513.8   568.8   615.4   672.4   743.8   838.2  1012.6  1440.6  8003.0  45161.0    45000  1715175501484  1715175506795
read      456.5   246.8   148.8   214.1   232.5   415.9   510.1   567.5   615.2   672.1   742.5   839.9  1020.1  1385.3  9154.6  49928.0    50000  1715175508299  1715175513603
read      454.2   242.1   148.8   213.0   231.6   411.9   505.9   564.1   612.2   667.6   738.7   838.4  1038.6  1431.3  8647.1  54879.8    55000  1715175515108  1715175520414
read      456.7   234.5   148.8   215.0   234.5   415.4   510.0   568.2   615.2   669.8   739.0   839.3  1008.1  1422.5  7778.2  59960.8    60000  1715175521918  1715175527263
read      450.5   226.5   160.7   217.6   236.5   409.4   500.1   554.2   601.1   657.2   727.4   823.4  1006.0  1325.9  5842.5  65159.2    65000  1715175528767  1715175534071
read      451.0   227.2   160.7   219.9   240.1   411.8   499.1   550.4   596.0   650.1   719.7   816.1   999.4  1352.8  6811.1  69937.2    70000  1715175535574  1715175540868
read      497.1   284.0   148.8   228.6   255.6   449.8   547.1   606.1   649.6   703.7   782.4   927.0  1252.8  1531.1 12028.0  75117.2    75000  1715175542372  1715175547685
read      829.7   450.8   160.7   509.3   551.2   690.1   804.3  1093.3  1169.8  1235.3  1300.7  1375.1  1518.8  4987.8 16520.0  76161.2    80000  1715175549190  1715175554487
read      789.9   400.1   148.8   483.1   516.7   654.6   855.2  1046.9  1107.0  1159.9  1221.9  1303.7  1456.6  3884.4 15239.8  80779.8    85000  1715175555991  1715175561294
read      787.8   388.8   148.8   486.8   519.8   655.4   793.3  1040.6  1109.7  1168.8  1232.9  1311.7  1453.2  2915.6 15443.1  82080.0    90000  1715175562797  1715175568103
read      763.2   371.9   173.5   470.3   499.5   631.8   834.4  1013.8  1070.0  1124.9  1180.1  1256.8  1381.5  2796.1 13191.7  85193.7    95000  1715175569607  1715175574910
read      831.7   435.0   173.5   540.4   567.3   679.6   773.3  1125.0  1194.4  1244.5  1298.3  1364.9  1487.8  4068.7 17168.5  79099.0   100000  1715175576413  1715175581713
read      845.9   424.1   173.5   560.0   588.4   689.9   770.2  1150.4  1222.2  1273.5  1327.9  1382.9  1495.1  3890.0 16302.3  77704.2   105000  1715175583216  1715175588530
read      846.3   443.8   148.8   552.5   582.8   692.2   779.8  1133.5  1217.6  1273.2  1329.7  1386.9  1509.3  4567.1 16575.8  77773.6   110000  1715175590034  1715175595350
read      818.9   428.3   160.7   522.5   552.7   669.5   799.5  1105.5  1159.2  1212.0  1263.6  1339.5  1480.1  4411.3 16255.3  80321.6   115000  1715175596854  1715175602158
read      827.4   426.6   160.7   522.2   554.9   682.2   799.2  1103.5  1171.1  1230.1  1287.2  1368.0  1499.5  3855.3 16128.7  79522.6   120000  1715175603661  1715175608968
read      850.0   421.4   187.4   513.1   546.4   724.4   850.2  1069.6  1163.9  1254.2  1347.4  1455.1  1611.9  4060.8 14716.1  77380.3   125000  1715175610473  1715175615794
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.37%,71.36%,100.00%
